Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.6,30.8,23.3,1013.7,59,0,20.9,3.7,7.6,,,,,
2,29.7,32.1,25.2,,55,0,21.2,4.6,9.4,,,,,
3,28.2,31.3,24.8,1014.5,65,0,9.7,8.9,22.2,,,,,
4,27.3,29.2,23.9,1016.8,72,0,7.7,10.7,14.8,,,,,
5,27.1,29.1,25.1,1014.6,70,0,9,7.4,14.8,,,,,
6,26.7,28.1,26,1015.6,75,0,7.2,8.3,11.1,,,,,
7,27,28.7,23.7,1018.8,76,0,7.6,8.9,14.8,,,,,
8,27.6,30.2,22.8,1018.0,61,0,12.2,6.5,14.8,,,,,
9,28.5,30.9,22.6,1015.5,52,0,23,7.8,13,,,,,
10,29.3,36.1,23.8,1015.1,51,0,18,4.6,11.1,,,,,
11,27.4,30.2,22.7,1016.8,58,0,15.9,6.7,11.1,,,,,
12,29.6,32.7,29,1016.4,53,0,16.3,7.4,11.1,,,,,
13,28.2,32.8,23.3,1013.7,66,0,9,4.6,7.6,,,,,
14,28.7,32.4,25.7,1011.1,66,0,7.4,4.8,7.6,,,,,
15,30.8,32.5,26,1010.7,66,0.51,5.5,3.5,3.5,,,,,
16,29.3,32.7,26.5,1015.4,62,0,10,4.8,7.6,,,,,
17,28.6,31.1,25.4,1018.7,74,0,8,8.5,14.8,,,,,
18,30.4,32.4,26.9,1019.3,54,0,7.4,3,3.5,,,,,
19,29.5,32.6,26.5,1018.1,73,0,7.6,6.1,11.1,,,,,
20,32.8,37.8,20.2,1013.3,43,0,8.9,7,11.1,,,,,
21,34.6,42.7,30.5,1013.2,46,0,8,4.1,5.4,,,,,
22,30.8,32.6,27.3,1016.8,64,0,,4.1,7.6,,,,,
23,30,33.2,27.4,1017.4,78,0,6.3,5.6,11.1,,,,,
24,31.2,34.2,28,1016.3,65,0,6.3,3.1,5.4,,,,,
25,29.5,31.8,26.5,1015.7,74,0,,8.3,16.5,,,,,
26,34.1,36.7,26.8,1013.5,48,0,9.8,4.1,5.4,,,,,
27,,,,,,,,,,,,,,
28,29.2,31.4,25.8,1018.6,77,0,6.8,7.4,16.5,,,,,
29,29.3,30.5,28.1,1021.2,68,0,9.5,14.3,16.5,,,,,
30,28,30.3,24.4,1018.5,67,0,17.5,10.6,,,,,,
31,28.4,30.5,23.3,1014.8,66,0,19,8.9,14.8,,,,,
