Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.3,31.4,18.4,,50,2.03,13.7,4.8,14.8,,,,,
2,25.1,32.1,17.5,,48,0,13.2,11.1,22.2,,,,,
3,26.9,33.3,20,,35,0,15,8.1,14.8,,,,,
4,27.1,33,19.8,,38,0,11.9,8.3,18.3,,,,,
5,23.9,33.4,17.4,,51,8.89,9.8,7.8,22.2,,,,,
6,24.5,32.5,16.5,,50,7.87,13.5,9.4,22.2,,,,,
7,27.1,33.8,20,,33,0,11.3,9.6,18.3,,,,,
8,29.7,34.4,25.2,,25,0,12.6,19.1,29.4,,,,,
9,28.7,32.4,25.4,,25,0,11.3,14.1,22.2,,,,,
10,28.4,34,22,,26,0,14.3,10.2,29.4,,,,,
11,28.9,31.8,25.5,,21,0,13.7,10.6,18.3,,,,,
12,25.4,32.1,21.2,,34,0,11.3,11.1,29.4,,,,,
13,21.6,29.5,17.4,,58,0,12.6,7.8,14.8,,,,,
14,18.1,25.1,13.5,,59,0,20,14.6,20.6,,,,,
15,17.1,24.5,8.9,,48,0,20.6,6.7,13,,,,,
16,19.8,29.6,11,,42,0,21.2,4.3,14.8,,,,,
17,21.6,30.1,13.7,,41,0,15,4.3,14.8,,,,,
18,23.9,32.1,14.2,,37,0,17.5,4.1,18.3,,,,,
19,22.1,28,18.4,,56,0,12.6,2.8,7.6,,,,,
20,19.9,27.1,14.6,,63,3.05,16.9,8.9,14.8,,,,,
21,19.3,26.5,11,,53,0,13.7,5,14.8,,,,,
22,20.1,30,13.7,,64,0,16.3,4.6,18.3,,,,,
23,18.2,25.9,13.6,,63,10.92,14.2,3.7,13,,,,,
24,19,26.5,14,,66,0,17.5,7.8,14.8,,,,,
25,18.1,24,14.4,,68,0,13.7,6.1,11.1,,,,,
26,15.1,20.1,12.2,,86,0,11.7,10.2,25.9,,,,,
27,13.7,16.8,11.6,,92,4.06,10.3,1.9,7.6,,,,,
28,14.6,21.1,9.6,,81,2.03,10.9,1.5,7.6,,,,,
29,15.1,19.5,12.5,,88,0,10,0,,,,,,
30,14.6,18.2,12.2,,87,3.05,9.5,5.6,18.3,,,,,
