Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.6,21,9.5,1022.4,60,0,11.6,8.1,25.9,,,,,
2,15.9,24.1,10.7,1022.2,56,0,12.1,11.1,48.2,,,,,
3,15.2,20,12,1021.6,55,1.02,12.1,34.6,51.9,,,,,
4,13.1,19,9,1023.3,53,0,11.9,17.6,37,,,,,
5,12.3,19,8,1023.9,55,0,12.1,13.1,63,,,,,
6,12.8,18.9,7,1024.6,49,0,10.6,4.3,11.1,,,,,
7,12.1,20,6.2,1023.7,53,0,11.6,6.3,14.8,,,,,
8,12.7,20,7.2,1022.5,55,0,11.3,4.1,18.3,,,,,
9,13.9,20,7.8,1024.0,48,0,11.9,11.9,22.2,,,,,
10,18.4,23.3,13.5,1028.7,41,0,11.7,4.3,33.5,,,,,
11,16.3,22.5,12,1031.7,51,0,11.6,10.4,25.9,,,,,
12,13.6,21.5,7.7,1032.9,59,0,10.8,5.4,20.6,,,,,
13,12.2,21.1,7.4,1032.4,55,0,13.2,8.7,18.3,,,,,
14,12.5,21.5,5.4,1028.4,46,0,11.3,4.6,13,,,,,
15,11.4,20,4.8,1021.1,49,0,12.9,7.6,14.8,,,,,
16,12.3,20.5,5.8,1019.4,47,0,10.8,10.7,33.5,,,,,
17,11.2,18,6.3,1022.9,61,0,11.1,11.1,20.6,,,,,
18,11.6,18.4,6.1,1025.6,53,0,11.6,10.7,22.2,,,,,
19,10.2,17,5,1025.5,59,0,11.9,7.8,18.3,,,,,
20,13.7,18,5.2,,48,0,11.6,12,25.9,,,,,
21,13.7,17.3,8.5,1010.6,50,0.76,8.9,22.6,44.3,,,,,
22,11.7,16.8,8,1013.6,54,0,12.1,19.6,29.4,,,,,
23,13.3,18.1,9,1014.0,51,0,11.6,8.1,33.5,,,,,
24,11.3,17.5,4,1016.5,53,0,10.8,12.2,27.8,,,,,
25,9.9,14.5,8,1010.4,74,2.03,10.1,9.1,25.9,,,,,
26,12.4,16,7,1009.6,66,0,9.8,18.7,37,,,,,
27,14.2,16.4,11.5,1003.5,64,0.76,9.3,18.1,63,68.3,,,,
28,14.4,18.1,9.6,1010.7,44,0,11.7,38,66.5,85.2,,,,
29,15.9,19.8,10,1011.7,40,0,8.9,41.5,81.3,105.4,,,,
30,14.6,18.4,9.8,1011.4,49,2.03,9.3,27.2,85.2,114.8,,,,
31,10.8,13.2,9,,38,0,9.7,39.1,55.4,94.6,,,,
