Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,38.4,46.6,31,1014.5,17,0,6.9,13.1,18.3,,,,,
2,32,39,25.9,1015.8,33,0,8.2,16.7,22.2,,,,,
3,31.7,39.8,24.2,1014.5,26,0,10,13,22.2,,,,,
4,30.4,38.2,23.8,1015.9,41,0,9.8,9.6,22.2,,,,,
5,28.9,35.6,22.8,1019.1,58,0,7.9,9.8,22.2,,,,,
6,29.4,37.9,22.8,1020.0,46,0,9,10.7,22.2,,,,,
7,30.9,39.9,22.8,1016.4,26,0,10,13,22.2,,,,,
8,33.3,42.6,23.4,1012.6,24,0,9.5,8.5,18.3,,,,,
9,33.1,40.3,27.3,1013.2,32,0,8.5,14.3,25.9,,,,,
10,31.6,38,23.2,1017.3,30,0,10,7.4,18.3,,,,,
11,32.8,40.2,24.3,1017.5,36,0,9.7,15.6,22.2,,,,,
12,29.6,36,23.7,1017.0,53,0,6,11.9,14.8,,,,,
13,28.7,34.4,24.3,1016.0,50,0,8.2,9.3,18.3,,,,,
14,31.8,42.6,24.2,1013.0,27,0,10,15.4,25.9,,,,,
15,33.3,43.6,26.2,1014.1,28,0,8.2,26.5,92.4,,,,,
16,29.9,35.7,23.4,1016.3,36,0,8.9,13,18.3,,,,,
17,29,35.4,22.8,1015.2,38,0,10,12.8,22.2,,,,,
18,27.7,33,22,1013.2,53,0,10.1,11.9,25.9,,,,,
19,27.9,36.2,22.4,1011.8,51,0,10,8.1,22.2,,,,,
20,28.9,37.4,21.7,1013.8,40,0,9.5,7.8,18.3,,,,,
21,30.3,38.6,22.2,1015.4,41,0,9.5,8,18.3,,,,,
22,29.8,39,20.4,1017.2,45,0,9.2,6.3,14.8,,,,,
23,30.1,39.3,21.4,1016.7,32,0,11.6,6.3,7.6,,,,,
24,32.7,41.2,24.6,1014.4,22,0,11.3,14.8,25.9,,,,,
25,34,42,23.7,1012.8,15,0,10,17.4,29.4,,,,,
26,30.8,39.9,23.8,1013.1,36,0,10,9.3,18.3,,,,,
27,31.8,40.4,23.3,1012.9,37,0,9.7,10.6,22.2,,,,,
28,30.6,39.5,24.3,1013.0,52,0,7.6,9.1,11.1,,,,,
29,28.2,36.4,23.5,1015.2,50,0,8,11.5,22.2,,,,,
30,28.3,33.9,22.3,1014.3,37,0,9.7,11.1,22.2,,,,,
31,26.8,34.7,19.9,1014.6,46,0,10,8.3,18.3,,,,,
