Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,12.4,21,4,1015.1,60,0,12.7,3.5,14.8,,,,,
2,12.2,18,6.6,1017.4,74,0,13.5,7.8,29.4,,,,,
3,11.7,16.6,7,1021.8,67,0,14.6,13.9,33.5,,,,,
4,12,17,8,1024.7,73,,11.6,16.3,37,,,,,
5,11.7,19,4,1027.9,71,0,13.7,5,18.3,,,,,
6,12.9,20.2,5.6,1026.7,69,0,14,7,25.9,,,,,
7,13.6,23,4,1021.6,59,0,15.3,6.7,24.1,,,,,
8,9.3,15,6,1016.6,79,,12.6,8.9,18.3,,,,,
9,8.1,11.4,4,1020.0,78,,10.5,18.3,40.7,,,,,
10,8.9,15.1,3.3,1023.4,74,0,13.8,9.8,22.2,,,,,
11,10.1,17.2,3,1022.8,68,0,12.7,5.4,14.8,,,,,
12,11.9,20,2.3,1018.5,61,0,12.6,9.1,29.4,,,,,
13,13.6,19,7,1012.7,53,0,14.2,20.2,33.5,,,,,
14,14.3,22.1,3.6,1011.1,61,0,13.7,5.6,22.2,,,,,
15,17.3,27,11.4,1004.2,59,,10.1,13.5,33.5,51.9,,,,
16,9.8,15,6,1009.1,87,,7.9,13.1,29.4,,,,,
17,9.8,17.3,3,1016.0,67,0,13.8,20.4,40.7,,,,,
18,10.8,16,3.9,1022.4,59,0,15.4,9.3,29.4,,,,,
19,11.8,19.5,4,1022.6,68,0,15.6,7.2,18.3,,,,,
20,15.3,24,5.8,1020.4,61,0,12.2,7,22.2,,,,,
21,17.4,26.4,9,1017.5,56,0,14,8,29.4,,,,,
22,17.2,23.8,12.6,1018.1,65,0,13.7,4.8,24.1,,,,,
23,14.1,20.5,6.9,1018.9,69,0,13.5,5,18.3,,,,,
24,12.8,18,7,1017.6,63,0,13.7,13.7,33.5,,,,,
25,12.7,21.2,3,1017.9,52,0,14.2,4.4,18.3,,,,,
26,16.4,25.3,6.9,1011.7,51,0,14.6,15.7,44.3,,,,,
27,18.1,25.6,10.5,1008.1,56,0,15.1,10.7,25.9,,,,,
28,24.3,33,14,1003.0,24,0,9,37,59.4,77.8,,,,
29,16.6,24,11,1011.6,62,0,8.9,9.6,22.2,,,,,
30,17.4,27,7.5,1015.1,61,0,11.9,6.9,18.3,,,,,
