Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,35.7,40.4,25,,15,0,15,12.6,24.1,,,,,
2,35,40.7,28.4,,19,0,7.7,23.7,40.7,,,,,
3,33.4,39.2,26.7,,18,0,10.6,16.1,27.8,,,,,
4,32.4,38.7,23.9,,18,0,15.8,15.2,25.9,,,,,
5,30.2,37.4,23,,21,0,16.9,12.8,25.9,,,,,
6,30.6,37.5,21.8,,18,0,15.4,10.4,25.9,,,,,
7,31.6,38.5,22.9,,15,0,13.8,12.4,27.8,,,,,
8,32.9,39.5,24.7,,16,0,12.4,19.3,29.4,,,,,
9,33.6,40.4,26,,17,0,12.9,14.3,31.3,,,,,
10,33.7,40.5,25.4,,17,0,11.9,19.1,46.5,,,,,
11,31.7,37.1,24,,21,0,13,19.8,27.8,,,,,
12,30.4,37.3,22.7,,22,0,12.1,16.5,29.4,,,,,
13,30.5,37,21.8,,22,0,15.4,12.4,29.4,,,,,
14,29.9,37.1,22.3,,21,0,15.6,9.8,29.4,,,,,
15,29.5,37.1,18.7,,18,0,15.6,8.3,25.9,,,,,
16,31.1,37.8,23,,16,0,16.7,11.9,22.2,,,,,
17,30.6,38.5,20,,15,0,17.1,10.2,25.9,,,,,
18,29.9,37,21.9,,24,0,6.6,15.7,33.5,,,,,
19,31,37.5,23.7,,30,0,5.1,11.3,46.5,,,,,
20,31,38.4,23.1,,28,0,6.8,10.7,48.2,,,,,
21,31.2,38.4,22.4,,22,0,7.9,15.2,29.4,,,,,
22,31.5,37.7,23.4,,21,0,8.4,13.9,44.3,,,,,
23,30.1,36.6,22.2,,19,0,12.1,11.3,20.6,,,,,
24,30.1,36,23.5,,22,0,10,18,40.7,,,,,
25,31.1,38.4,22.7,,25,0,5.3,12.6,37,,,,,
26,31.6,39.5,25,,17,0,11.3,13.1,27.8,,,,,
27,32.5,39.1,25,,16,0,12.7,16.5,33.5,,,,,
28,30.7,36.2,23.3,,14,0,16.3,15.6,33.5,,,,,
29,30.3,36.9,22.4,,16,0,14.6,15.7,33.5,,,,,
30,33,38.6,30,,14,0,12.6,28.5,40.7,,,,,
31,32.4,38.5,24.4,,18,0,13.5,19.4,33.5,,,,,
