Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,7.4,12,0.7,,73,0,18,7.4,14.8,,,,,
3,,,,,,,,,,,,,,
4,6.8,9.8,4.5,,89,2.03,11.3,13.9,22.2,,,,,
5,5.5,7.3,3.5,,85,0,13.5,19.4,22.2,,,,,
6,7.1,9.9,3.5,,77,0,11.3,13.9,22.2,,,,,
7,,,,,,,,,,,,,,
8,5,10,-2.3,,69,0,8,6.7,11.1,,,,,
9,6.7,12,-1,,61,0,20,7.4,11.1,,,,,
10,6.2,11.5,-1.6,,63,0,15,9.3,13,,,,,
11,8.4,12.5,4.5,,53,0,15,24.1,66.5,,,,,
12,6,12,-2.4,,56,0,17.5,8.3,18.3,,,,,
13,,,,,,,,,,,,,,
14,10.2,15.4,5,,58,0,18.8,23,29.4,,,,,
15,,,,,,,,,,,,,,
16,8.6,17.7,1.8,,58,0,18.8,22,29.4,,,,,
17,9.2,15.4,-1.2,,31,0,20,7,14.8,,,,,
18,7.5,10.8,4.5,,68,0,13,18.9,24.1,,,,,
19,7.8,13.7,1.3,,60,0,20,4.3,9.4,,,,,
20,10.8,18.1,-0.5,,46,0,15,4.8,9.4,,,,,
21,14.2,21.2,2,,38,0,20,4.8,11.1,,,,,
22,13.7,19.8,3.9,,40,0,14,17,29.4,,,,,
23,14.3,20.2,4.4,,34,0,20,14.8,24.1,,,,,
24,13,18.1,5.2,,48,0,15,8.3,13,,,,,
25,12.2,18.9,1,,37,0,18,6.3,11.1,,,,,
26,13.6,20.2,2.5,,39,0,13,4.1,11.1,,,,,
27,12.4,18.6,2.6,,32,0,20,20.4,33.5,,,,,
28,10.5,16.3,-1,,27,0,15,12.2,22.2,,,,,
