Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,25,28.6,19.5,1017.0,70,0.76,15,18.5,22.2,,,,,
4,,,,,,,,,,,,,,
5,26.2,28.5,24,1017.6,69,0,15,20.4,25.9,,,,,
6,25.2,28,21.5,1016.6,75,0,15,20.4,22.2,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,26.2,31,19.5,1015.5,56,0.76,15,19.3,22.2,,,,,
10,24.9,29.3,19.5,,71,0,15,18.5,22.2,,,,,
11,24.7,27.8,22.5,1017.7,57,0,15,23.2,25.9,,,,,
12,23.6,28,17.5,1020.2,65,0,15,19.4,22.2,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,25.6,28.7,22,1017.2,62,0,15,23.2,25.9,,,,,
16,23.6,28.1,17.5,1018.1,69,0,15,17.6,22.2,,,,,
17,23.6,27.5,21,1013.5,65,0,15,20.4,22.2,,,,,
18,21.6,24.5,19.5,1015.5,74,101.09,10.8,18.3,18.3,,,,,
19,22.5,27.2,19.3,1017.1,71,0,15,19.3,22.2,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,26.1,28.8,22,1015.8,63,0,15,15.6,18.3,,,,,
25,,,,,,,,,,,,,,
26,24.3,27.9,19.5,1022.2,75,0,15,15.6,18.3,,,,,
27,22.3,27,18,1018.2,73,0.25,12.1,18.5,22.2,,,,,
28,,,,,,,,,,,,,,
29,26.3,31,20.6,1014.8,67,0,15,17.6,22.2,,,,,
30,23.7,26.8,19.5,1018.5,75,7.87,13.7,20.4,33.5,,,,,
