Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.3,14,7,1027,72,0,10.8,33.5,44.6,,,,,
2,13.5,19,9,1021.3,67,0,9,23.7,33.5,,,,,
3,13,18,8,1020.3,64,0,8.4,24.1,33.5,,,,,
4,13.6,19,7,1019,57,0,10,19.3,25.9,,,,,
5,14,19,10,1015.7,51,0,10,20.7,29.4,,,,,
6,12.7,20,5,1014.5,52,0,10,14.4,18.3,,,,,
7,13.5,21,5,1015.9,57,0,15.6,16.1,25.9,,,,,
8,14.8,24,4,1010.6,46,0,13.4,21.9,46.5,,,,,
9,13.6,18,10,1003.7,61,,7.4,30.7,44.6,,,,,
10,11.4,14,8,1011.6,77,0,6.9,49.8,85.2,,,,,
11,11.6,17,5,1020,52,0,8.9,24.4,46.5,,,,,
12,11.4,19,2,1019.6,44,0,10,17,29.4,,,,,
13,13.4,23,4,1011.8,34,0,10,20.6,37,,,,,
14,11.8,19,6,1013.9,37,0,9,28.3,55.4,,,,,
15,11.7,20,1,1016.4,35,0,12.6,16.1,29.4,,,,,
16,14,25,4,1014.6,34,0,10,21.5,40.7,,,,,
17,12.3,19,3,1019.8,37,0,15.4,17.4,37,,,,,
18,11.7,22,1,1020.2,32,0,20,13.9,18.3,,,,,
19,15.7,23,6,1014.2,27,0,14.3,28.2,48.2,,,,,
20,17.5,23,13,1006,25,0,4.8,51.1,90.7,,,,,
21,17,22,11,1009.6,36,0,4.8,42.8,87,,,,,
22,17.2,25,8,1016.5,35,0,11.4,17.8,22.2,,,,,
23,19.8,29,11,1012,31,0,8.9,29.8,51.9,,,,,
24,15.8,20,12,1013.7,38,0,9.5,27,44.6,,,,,
25,14.9,19,8,1016.1,26,0,11.9,29.4,37,,,,,
26,11.7,16,9,1021.5,52,,10,21.1,29.4,,,,,
27,11.4,21,3,1021.2,57,0,8.7,35.2,51.9,,,,,
28,14.5,19,11,1021.1,51,0,10.9,30.2,44.6,,,,,
29,12.4,19,4,1021.5,54,0,13.2,17,24.1,,,,,
30,13.4,22,4,1018.5,41,0,11.3,22.2,35.2,,,,,
31,14.9,20,9,1018,44,0,9.2,21.5,29.4,,,,,
