Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,30.9,37.5,24,1015.7,29,0,10,3.5,14.8,,,,,
2,34,40.2,25,1013.8,25,0,10,2.8,18.3,,,,,
3,34.3,41.5,25.6,1012.6,23,0,10.1,1.5,18.3,,,,,
4,34.2,41.7,27.2,1012.6,27,0,10,10.4,24.1,,,,,
5,30.9,36.4,25,1014.7,38,0,10,19.8,31.3,,,,,
6,29.3,34.2,23.5,1017.8,37,0,10,12.6,22.2,,,,,
7,29.6,36.5,23,1017.8,35,0,10,5.4,11.1,,,,,
8,31.7,38,23.5,1016.8,31,0,10,2.6,14.8,,,,,
9,34.2,40.3,25.5,1014,22,0,10,4.3,14.8,,,,,
10,33.6,42.5,25.3,1009.9,23,0,10,12.2,25.9,,,,,
11,32.6,40.4,25,1009.9,33,0,10.1,10.7,25.9,,,,,
12,34.1,42.7,25,1013,27,0,10,5.9,18.3,,,,,
13,36.8,46.1,28.5,1011.4,23,0,10.5,7.4,18.3,,,,,
14,35.3,42.5,29,1010.5,28,0,10.5,13.5,25.9,,,,,
15,33.6,40.2,26,1014.4,27,0,10,9.6,22.2,,,,,
16,33.5,40,26.5,1016.2,28,0,10,7.2,18.3,,,,,
17,35.1,43,27.6,1014.6,27,0,10.6,7.4,18.3,,,,,
18,35.2,42,27.1,1012.9,28,0,9,20.4,29.4,,,,,
19,33.3,41.8,24.4,1012.1,35,0,10,11.9,24.1,,,,,
20,34.5,44,27.5,1010.5,32,0,10.3,13,22.2,,,,,
21,38.6,47,29,1008.6,27,0,10.6,7.2,25.9,,,,,
22,38.5,46,31.5,1009.3,31,0,8.7,10.9,25.9,,,,,
23,34.5,41.3,27.5,1009.6,40,0,10.3,17.4,25.9,,,,,
24,33.7,41.5,26.5,1013.5,38,0,10,9.1,22.2,,,,,
25,34.6,41.6,27,1014.2,35,0,10,8,18.3,,,,,
26,35.9,43.2,28.5,1012.9,37,0,10,6.1,18.3,,,,,
27,36.7,44.6,28.7,1010.7,33,0,10,3.5,11.1,,,,,
28,35.3,41.6,29,1013.2,36,0,10,10.7,18.3,,,,,
29,33.7,40.4,25,1016.6,28,0,10,8.3,22.2,,,,,
30,34.4,41.4,26,1016.6,26,0,10,3.1,18.3,,,,,
31,33.4,39.8,27.5,1012.5,32,0,10,13.5,27.8,,,,,
