Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,33.1,40,25.5,,30,0,10,18.1,29.4,,,,,
2,35.4,43,27,,21,0,10,9.8,22.2,,,,,
3,36.7,44,27.4,,21,0,10,6.1,18.3,,,,,
4,36.4,43.3,29.5,,19,0,10,16.7,33.5,,,,,
5,37.1,44.5,29.6,,21,0,10.5,8.9,29.4,,,,,
6,38,45,30.5,,22,0,6.6,16.7,29.4,,,,,
7,37.7,45.9,29,,21,0,10.1,9.8,25.9,,,,,
8,39.2,47,29.8,,18,0,10,10.9,25.9,,,,,
9,38.6,45.5,30.3,,20,0,10,11.9,29.4,,,,,
10,34.3,40.5,27.8,,28,0,10,23.5,33.5,,,,,
11,32.4,38.5,26.4,,29,0,10,16.3,33.5,,,,,
12,32.9,39,25.5,,28,0,10,13.1,18.3,,,,,
13,33.2,40,24,,28,0,10,9.8,22.2,,,,,
14,33.9,42,24.7,,23,0,10,5.7,18.3,,,,,
15,36.1,43.5,26.6,,16,0,10,14.4,29.4,,,,,
16,33.7,40.8,27,,23,0,10,21.7,33.5,,,,,
17,32.5,38.5,26,,33,0,10,23.9,44.3,,,,,
18,33.6,39.9,25,,27,0,10,20.9,29.4,,,,,
19,33,40,25.6,,26,0,10,21.7,25.9,,,,,
20,33.3,40,25.8,,27,0,10,22.8,33.5,,,,,
21,33.8,40,25.4,,22,0,10,18.9,29.4,,,,,
22,32.9,39.4,25,,20,0,10,15,22.2,,,,,
23,33.2,40,24,,20,0,10,12,25.9,,,,,
24,33.5,41,23.5,,22,0,10,6.5,18.3,,,,,
25,33.1,41,24,,25,0,10,10.4,22.2,,,,,
26,33.1,40,26,,25,0,10,7.2,18.3,,,,,
27,34.4,42.2,24.9,,25,0,10,4.6,18.3,,,,,
28,35.9,43.5,26.7,,18,0,9.5,9.6,29.4,,,,,
29,35.2,42.4,29,,29,0,10,10.6,22.2,,,,,
30,36,41.3,29.3,,27,0,9.5,13.9,22.2,,,,,
31,36.4,43.2,29.2,,22,0,7.2,24.8,40.7,,,,,
