Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,31.6,39.5,21,1008.7,20,0,20,13,25.9,,,,,
2,30.4,36.6,23,1010.5,40,0,19.3,18.3,37,,,,,
3,29.6,36.7,20.4,1011.2,34,0,19.3,6.5,14.8,,,,,
4,31.2,37.8,22,1009.9,26,0,20,7.6,18.3,,,,,
5,31.7,38.6,24.3,1009.7,33,0,19.3,11.9,31.3,,,,,
6,31,38.4,22.2,1011.0,31,0,18.2,9.4,29.4,,,,,
7,31.1,38.5,22.9,1009.3,34,0,14.3,15.9,33.5,,,,,
8,32.4,41.2,23.6,1009.1,27,0,13.7,16.9,40.7,,,,,
9,30.9,39.7,24.3,1011.7,35,0,15,18.3,33.5,,,,,
10,33.4,39,24.6,1012.4,28,0,10.8,16.1,25.9,,,,,
11,30,37.8,24,1012.4,36,0,10.9,18,29.4,,,,,
12,31.1,36.4,23.5,1013.2,30,0,10,14.6,29.4,,,,,
13,29.6,36.2,21.7,1013.5,30,0,11.1,5,18.3,,,,,
14,28.2,35.6,19.3,1011.7,27,0,11.1,4.4,22.2,,,,,
15,30.8,37.4,21.5,1010.2,28,0,11.7,8,25.9,,,,,
16,30.2,37.3,19.4,1011.6,27,0,11.3,6.9,20.6,,,,,
17,31.4,38.1,19.4,1011.2,17,0,11.7,6.7,22.2,,,,,
18,29.7,38.7,18.6,1009.9,20,0,11.6,7,27.8,,,,,
19,29.1,38.6,20,1009.4,26,0,12.1,3.5,22.2,,,,,
20,28,33.4,21,1010.5,41,0,9.3,5.4,18.3,,,,,
21,26.8,31.3,23.3,1012.5,38,0,9.2,4.4,25.9,,,,,
22,29.3,37,22.4,1011.8,33,0,8.7,15.7,33.5,,,,,
23,30.2,38,23.9,1013.2,38,0,8.7,13.3,33.5,,,,,
24,29.9,34.5,23.5,1015.1,32,0,10,16.5,25.9,,,,,
25,28.9,35,22.9,1015.4,36,0,10,9.6,25.9,,,,,
26,28.5,35,20.4,1014.7,49,0,10.6,8.3,22.2,,,,,
27,29.2,33.5,24.9,1012.3,36,0,10.6,17.2,29.4,,,,,
28,30.2,35,23.2,1011.6,41,0,10,18.7,29.4,,,,,
29,28.8,35.4,20.2,1013.1,35,0,10,14.1,25.9,,,,,
30,29,35.5,20.4,1014.2,22,0,10,18.1,33.5,,,,,
