Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17.4,20.9,14.1,,49,3.05,8.4,38.5,48.2,,,,,
2,15,17.2,11.4,,62,0,10,30.6,37,,,,,
3,12.9,17.2,7.1,,69,0,10,3.7,18.3,,,,,
4,10.4,13,7.8,,75,2.03,10,18.5,37,,,,,
5,10.4,12,8.6,,80,0,10,13.3,22.2,,,,,
6,9.6,12.2,5,,79,1.02,10,17.8,37,,,,,
7,10.7,14.9,5,,76,0,10,0,,,,,,
8,10.7,16.3,2.5,,73,0,10,3.7,18.3,,,,,
9,11.2,15.9,4.9,,73,0,10,0,,,,,,
10,11.9,17.4,4.1,,69,0,10,1.5,7.6,,,,,
11,12.9,18.3,4.5,,62,0,10,0,,,,,,
12,13.1,16.4,10.7,,66,0,10,12.6,22.2,,,,,
13,11.8,13.2,10.3,,68,0,10,25,29.4,,,,,
14,8.5,13.2,3.6,,76,0,10,20.7,33.5,,,,,
15,9.7,13,4.1,,71,0,10,17.8,22.2,,,,,
16,9.8,13.1,4.4,,81,0,10,18.5,29.4,,,,,
17,10.6,14.1,7.8,,76,0,10,8.1,22.2,,,,,
18,11.3,16.1,5.6,,66,0,10,1.5,7.6,,,,,
19,10.5,14.1,4.9,,67,0,10,0,,,,,,
20,11.3,15.6,4.1,,62,0,10,0,,,,,,
21,10.3,16.2,4.1,,68,0,10,0,,,,,,
22,11.9,17.1,4.1,,64,0,10,11.9,22.2,,,,,
23,10.7,14.6,4.5,,70,0,10,8.9,22.2,,,,,
24,11.4,16.1,4.1,,66,0,10,34.1,48.2,,,,,
25,8.9,11.9,4,,73,0,10,20,37,,,,,
26,7.4,9.2,6,,81,1.02,10,8.1,22.2,,,,,
27,8.6,12.4,4.1,,75,0,10,10.4,25.9,,,,,
28,7.6,10,5.1,,77,4.06,10,34.1,44.3,,,,,
29,10.1,14.2,3.6,,51,0,10,36.3,51.9,,,,,
30,9.8,15.7,4.1,,56,0,10,33.3,48.2,,,,,
