Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.8,33,18,,40,0,,6.7,22.2,,,,,
2,26.9,36,18,,31,0,10,8,25.9,,,,,
3,27.3,35,18,,32,0,10,11.3,25.9,,,,,
4,28.1,35,20,,33,0,10,15.7,29.4,,,,,
5,27.7,36,21,,40,0,9.8,11.1,40.7,,,,,
6,24.8,31,18,,55,0,10,8.7,25.9,,,,,
7,22.1,27,18,,63,,10,16.7,29.4,,,,,
8,21.4,26,16,,71,0,9.7,12.8,25.9,,,,,
9,23.1,29,18,,53,,9.7,16.5,55.4,74.1,,,,
10,20.2,26,16,,72,,8.9,20,37,,,,,
11,23.3,30,16,,53,0,6.9,20,37,,,,,
12,22.2,30,16,,51,0,7.6,8.3,25.9,,,,,
13,21.7,29,14,,54,0,,2.6,11.1,,,,,
14,22,30,14,,52,0,,5.9,18.3,,,,,
15,22.4,31,14,,45,0,10,2.2,14.8,,,,,
16,22.7,31,15,,44,0,,2.4,14.8,,,,,
17,23.2,31,15,,47,0,,0.6,11.1,,,,,
18,23.4,32,16,,40,0,10,6.3,22.2,,,,,
19,22.2,32,13,,38,0,10,7.8,29.4,,,,,
20,21.5,29,15,,45,,9.8,8.7,22.2,,,,,
21,21.8,29,15,,47,0,10,10.7,18.3,,,,,
22,21.7,29,15,,43,0,10,10.6,25.9,,,,,
23,20.4,28,12,,47,0,10,2.6,14.8,,,,,
24,21.8,30,14,,40,0,10,1.9,14.8,,,,,
25,20.9,29,12,,40,0,10,7.4,33.5,,,,,
26,20.6,30,13,,41,0,,5.4,22.2,,,,,
27,19.3,27,12,,51,0,10,6.9,18.3,,,,,
28,19.3,26,13,,59,0,10,0.6,7.6,,,,,
29,19.7,27,12,,52,0,9.5,15,55.4,,,,,
30,17.9,21,15,,52,0,9.5,22.4,37,,,,,
31,15.5,20,12,,57,0,10,13.7,25.9,,,,,
