Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,20.7,24,7.5,,36,0,,13.1,22.2,,,,,
3,20.2,25.8,10,,40,0,23.8,9.4,14.8,,,,,
4,19,25,11,,57,0,11.6,13.9,25.9,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,17,24,9,,61,0,,1.9,7.6,,,,,
13,18.6,25,7,,42,0,18.8,10.2,24.1,,,,,
14,19.8,26,7,,41,0,15,0,,,,,,
15,21.4,27,11,,38,0,,2,20.6,,,,,
16,21.2,26.3,11,,35,0,17.5,4.3,18.3,,,,,
17,22.4,26,17,,34,0,,5.7,18.3,,,,,
18,20.8,25.1,12,,39,0,15,9.4,25.9,,,,,
19,20.5,25,11,,41,0,10,9.6,14.8,,,,,
20,19.9,24,7.5,,41,0,29.5,14.4,29.4,,,,,
21,18.8,23.3,9,,40,0,,13.1,24.1,,,,,
22,19.9,24.2,14,,43,0,,11.9,22.2,,,,,
23,18.5,24,5,,36,0,,10.6,18.3,,,,,
24,19.2,25.4,10,,36,0,,4.3,18.3,,,,,
25,20.8,27,11,,33,0,,7,13,,,,,
26,21.6,27,9,,35,0,,4.8,9.4,,,,,
27,22,26.1,11,,43,0,16.7,4.8,18.3,,,,,
28,21.4,27,11,,37,0,,9.4,20.6,,,,,
29,19.2,24,10,,39,0,,13.5,27.8,,,,,
30,,,,,,,,,,,,,,
