Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.5,26,20,,,0,10,20,24.1,,,,,
2,24.1,27,19,,,0,11.1,16.3,18.3,,,,,
3,22.7,27,16,,,0,10,17.4,31.7,,,,,
4,24.4,26,20,,,0,10,18.7,29.4,,,,,
5,22.5,26,16,,,0,10,14.8,29.4,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,22.3,24,20,,,0,10,15.4,18.3,,,,,
9,22.3,25,19,,,,9.5,14.4,25.9,,,,,
10,,,,,,,,,,,,,,
11,22.8,27,17,,,0,10.5,14.4,22.2,,,,,
12,19.2,23,17,,,,9.5,10.2,14.8,,,,,
13,21.9,26,17,,,0,9.8,11.5,29.4,,,,,
14,23.8,26,16,,,,9.5,9.8,18.3,,,,,
15,,,,,,,,,,,,,,
16,23.2,24,17.4,,,0,10,13.9,18.3,,,,,
17,,,,,,,,,,,,,,
18,21.1,25,16,,,0,10,9.6,18.3,,,,,
19,21.8,28.2,17,,,,9.7,13.1,18.3,,,,,
20,,,,,,,,,,,,,,
21,22.6,26,13.8,,,0,10,6.9,14.8,,,,,
22,,,,,,,,,,,,,,
23,20.8,23,17,,,0,10,9.8,20.6,,,,,
24,19.2,23,14,,,0,12.1,9.8,18.3,,,,,
25,22.8,25,19,,,0,11.6,18.5,29.4,,,,,
26,,,,,,,,,,,,,,
27,26.1,26.4,26,,,0,10,13.9,18.3,,,,,
28,24.8,29,22,,,0,10,8,16.5,,,,,
29,23.2,26,19,,,0,10.8,14.4,22.2,,,,,
30,,,,,,,,,,,,,,
