Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,31.4,37,27,,71,0,10,11.5,18,,,,,
2,31.4,36,26,,69,0,10,12.2,25.2,46.9,,,,
3,32.3,38,27,,68,0,10,10.7,21.7,,,,,
4,30.8,37,27,,73,,10,10.6,18,,,,,
5,31.2,37,28,,77,0,10,10.6,21.7,,,,,
6,30.4,35,27,,79,0,10,10.6,18,,,,,
7,29.7,34,26,,79,,10,11.7,21.7,,,,,
8,27.1,30,26,,92,,10,8.3,14.4,,,,,
9,27.4,30,25,,92,,10,6.1,10.7,,,,,
10,28.6,33,26,,86,,10,7.6,14.4,,,,,
11,29.1,34,26,,83,0,10,6.7,18,,,,,
12,29.2,33,26,,84,,9.3,7,21.7,,,,,
13,29.4,34,27,,84,0,10,8.5,18,,,,,
14,29.6,35,27,,82,,10,10.9,14.4,,,,,
15,27.4,34,25,,88,,9.8,8.7,18,,,,,
16,30.3,34,27,,79,0,9.7,9.1,14.4,,,,,
17,27.2,31,25,,91,,9.8,4.8,18,,,,,
18,28.3,32,27,,86,0,9.7,8.7,21.7,,,,,
19,27.4,33,25,,86,,10,7,18,,,,,
20,26.9,34,25,,89,,8.9,7.6,28.7,46.9,,,,
21,28.6,34,26,,85,,10,11.1,18,,,,,
22,29.6,33,26,,83,0,10,13.3,18,,,,,
23,29.8,34,27,,81,0,10,12.2,21.7,,,,,
24,28.9,33,26,,85,,10,11.3,21.7,,,,,
25,30,34,27,,80,0,10,13.9,21.7,,,,,
26,30.2,34,27,,77,0,10,12.8,18,,,,,
27,29.5,34,26,,81,0,10,13.7,25.2,,,,,
28,29.4,34,26,,79,,10,13.1,18,,,,,
29,29.6,35,26,,75,0,10,13.5,21.7,,,,,
30,26.8,32,24,,90,,8.2,12.6,32.4,,,,,
