Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.3,28.3,21.1,1011.5,84,0,12.6,10,18.3,,,,,
2,25.3,28.5,22.5,1012.1,82,0,12.2,2.2,7.6,,,,,
3,24.8,31,21,1011.9,83,6.1,11.4,10.2,37,,,,,
4,23.7,28.7,20.4,1011.6,86,23.88,10.3,8,14.8,,,,,
5,23.8,26,21.3,1013.4,88,2.03,10.6,8.9,14.8,,,,,
6,24.8,28,22.1,1012.5,84,0,11.3,9.3,11.1,,,,,
7,25,29,21.5,1011.8,83,5.08,9.8,8.7,18.3,,,,,
8,24.3,27.8,21.6,1012.3,84,0,9.5,12,18.3,,,,,
9,24.6,29.5,22.3,1012.3,84,0.76,12.2,5,18.3,,,,,
10,24.6,29,21.2,1012,87,12.95,13.2,4.6,14.8,,,,,
11,24.5,27.4,22.5,1012.2,85,3.05,11.3,10.7,18.3,,,,,
12,23.1,27.7,20.9,1014.2,87,0.51,9.2,9.4,18.3,,,,,
13,23.2,26.4,21.2,1013.9,84,0,10.1,9.8,18.3,,,,,
14,22.3,24,21.2,1012.3,92,0.51,8.5,6.1,14.8,,,,,
15,22.2,25,20,1013.3,90,60.96,8.4,11.1,22.2,,,,,
16,24.2,30,19.5,1014.2,79,0,9,6.5,11.1,,,,,
17,26.5,32,21.9,1011.6,76,0,11.4,5.6,18.3,,,,,
18,24.4,30.7,22.5,1010.1,82,0,12.1,10.2,18.3,,,,,
19,23.6,28.1,21.8,1011.7,84,0,10,14.8,18.3,,,,,
20,23.8,27.4,22,1014.8,85,0,10.9,12.6,18.3,,,,,
21,24.9,29.8,22.7,1012.1,83,0,11.3,5.2,11.1,,,,,
22,23.7,29,21.4,1012.5,84,93.98,13.4,3.7,11.1,,,,,
23,25.2,30,22,1011.9,79,0,13.7,6.5,11.1,,,,,
24,24.4,28.2,21.5,1012.7,87,5.08,10.9,8.3,14.8,,,,,
25,24.8,28,20.7,1014,82,12.95,13,6.9,18.3,,,,,
26,25.4,31.5,21.5,1013.3,80,0,12.6,5.6,11.1,,,,,
27,24.9,29.6,20.5,1012.8,86,33.02,12.6,3,7.6,,,,,
28,25,28,22.5,1012.4,83,0,9,10.2,18.3,,,,,
29,24.8,27.5,22.6,1012.8,83,0,9.5,10.6,18.3,,,,,
30,23.7,27.2,21.6,1013.5,84,0,9.5,7.8,18.3,,,,,
31,24.5,30,21.5,1013.2,82,0,9.5,4.1,7.6,,,,,
