Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26,30.6,21.8,1012.0,82,7.87,10,,,,,,,
2,,,,,,,,,,,,,,
3,27.3,32.1,24.3,1013.0,86,0.76,10,,,,,,,
4,23.4,27.3,20,1013.6,90,22.1,10,,,,,,,
5,26.8,31.5,23.1,1012.8,82,0.51,10,,,,,,,
6,27.1,32.6,22.9,1012.2,80,0,10,,,,,,,
7,,,,,,,,,,,,,,
8,26.4,32.3,21.7,1013.8,81,8.89,7.6,,,,,,,
9,26.3,31.7,21.6,1012.8,81,27.94,10,,,,,,,
10,28.2,32.3,22.8,1012.3,74,3.05,10,,,,,,,
11,,,,,,,,,,,,,,
12,26.2,30.8,24.2,1012.9,88,0,10,,,,,,,
13,,,,,,,,,,,,,,
14,24.5,30.3,20.5,1013.8,85,34.04,10,,,,,,,
15,26.4,31.3,22.7,1012.7,84,0,10,,,,,,,
16,26.8,31.4,23.8,1012.5,85,0,10,,,,,,,
17,25.8,28.8,22.6,1013.2,86,0,10,,,,,,,
18,25.9,31.8,22.7,1014.1,84,6.1,10,,,,,,,
19,26.8,31.9,23,1013.4,83,0,10,,,,,,,
20,26.4,31.7,23,1012.3,84,0,10,,,,,,,
21,26.8,31,23.5,1012.3,83,0,10,,,,,,,
22,26.8,31.6,23,1013.7,81,0,10,,,,,,,
23,27.1,32.7,23.5,1014.5,79,0,10,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,25.6,30,22.5,1012.0,85,0,10,,,,,,,
28,,,,,,,,,,,,,,
29,26.1,30.8,22.5,1013.1,83,0.76,10,,,,,,,
30,,,,,,,,,,,,,,
