Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.2,31,21,,65,0,10.9,12.8,22.2,,,,,
2,23.9,29,21,,78,,11.1,6.1,18.3,,,,,
3,24.9,31,19,,71,0,10.8,3.5,9.4,,,,,
4,24,30.6,17.5,,76,1.78,10.9,7,20.6,,,,,
5,25.1,30,18,,64,0,10.9,5.9,13,,,,,
6,25.6,30,21.2,,67,,10.8,4.3,14.8,,,,,
7,25.4,30,20,,66,0,10.6,6.3,16.5,,,,,
8,24.4,30.4,17,,67,0,10.5,10,18.3,,,,,
9,23.4,29.5,16.5,,69,0,10.8,9.6,20.6,,,,,
10,25.4,30,17.5,,57,0,10.6,7.6,16.5,,,,,
11,25.4,30,17.5,,57,0,10.1,3.9,13,,,,,
12,25.8,31.9,17.6,,61,0,10.6,5,13,,,,,
13,26.2,34,18,,59,0,10.9,9.1,16.5,,,,,
14,24,31,16.8,,69,0,10.3,6.1,18.3,,,,,
15,25.4,29,19,,62,0,10.8,6.1,14.8,,,,,
16,21.7,25,20,,86,,11.6,2.2,9.4,,,,,
17,24.9,30.5,18,,68,11.68,10.5,8.9,14.8,,,,,
18,25.7,31.3,17.8,,65,0,10.6,11.9,22.2,,,,,
19,22.8,31.3,20,,86,,10.8,9.3,25.9,,,,,
20,19.8,21.6,19.2,,99,,9,10.4,14.8,,,,,
21,19.9,21.6,18,,98,157.99,10.6,6.3,14.8,,,,,
22,21.9,26.6,18.8,,87,12.95,10.8,10.9,20.6,,,,,
23,21.2,26.6,17.7,,87,38.86,10.8,6.1,27.8,,,,,
24,24.4,29,17.1,,73,14.99,10.6,7.8,20.6,,,,,
25,21.5,29,19,,86,4.32,10.6,5.7,16.5,,,,,
26,23.4,27.5,16.8,,75,8.38,10.6,5.4,14.8,,,,,
27,25.2,30,17.2,,67,0,10.8,8.7,20.6,,,,,
28,21.5,30,19.2,,91,2.29,10.9,3.1,11.1,,,,,
29,24.9,30.2,17.5,,68,1.02,10.5,9.8,18.3,,,,,
30,20.9,30.2,18.5,,88,,10.9,5.9,14.8,,,,,
31,26.2,29,24,,63,,10.9,10.6,18.3,,,,,
