Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,19.2,26,10,,37,0,10,11.5,20.6,,,,,
2,18.8,25,10,,40,0,10,13.5,25.9,,,,,
3,19.3,24,11,,42,0,10,17.2,27.8,,,,,
4,16.4,22,10,,48,0,10,15.2,29.4,,,,,
5,16.6,22,8,,52,0,10,10.9,22.2,,,,,
6,16.7,22,8,,53,0,10.3,11.1,22.2,,,,,
7,17,22,9,,50,0,10.3,13.1,22.2,,,,,
8,16.9,23,9,,48,0,10.5,14.3,27.8,,,,,
9,16.7,22,9,,49,0,10.6,18.5,27.8,,,,,
10,18.6,22,11,,51,0,11.1,18.9,29.4,,,,,
11,17.1,22,10,,56,0,10.5,14.1,27.8,,,,,
12,18.6,23,11,,48,0,10.6,10.9,22.2,,,,,
13,18.6,24,11,,55,0,10.5,14.6,33.5,,,,,
14,18.8,24,10,,58,0,10.6,8.9,22.2,,,,,
15,22.3,27,13,,39,0,10.5,11.7,18.3,,,,,
16,21.4,27,13,,32,0,10,13,25.9,,,,,
17,19.9,25,11,,36,0,10,5.9,18.3,,,,,
18,17.6,24,8,,42,0,10,6.9,18.3,,,,,
19,19.9,27,7,,34,0,10,7.2,18.3,,,,,
20,21.4,28,7,,30,0,10,7.4,14.8,,,,,
21,21.1,28,7,,26,0,10,9.1,25.9,,,,,
22,22.9,30,12,,24,0,10,15,25.9,,,,,
23,22.5,28,15,,30,0,10,11.1,18.3,,,,,
24,21.2,27,11,,40,0,10,11.7,27.8,,,,,
25,21.9,28,10,,36,0,10,8.7,22.2,,,,,
26,21.7,29,11,,28,0,10,8.7,16.5,,,,,
27,23.4,30,13,,24,0,10,12.2,22.2,,,,,
28,20.6,27,13,,35,0,10,16.5,27.8,,,,,
29,19.6,25,11,,42,0,10,14.6,29.4,,,,,
30,19.7,25,11,,37,0,10,12.6,27.8,,,,,
31,16.4,25,7,,46,0,10,8.5,25.9,,,,,
