Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25,29,19,,72,0,11.1,,,,,,,
2,24.6,30,18,,68,0,10.5,,,,,,,
3,26.1,31,20,,68,0,10.8,,,,,,,
4,26.9,31,20,,62,0,11.1,,,,,,,
5,27.6,30,23,,58,0,11.1,,,,,,,
6,24.6,29,18,,60,0,10.9,,,,,,,
7,25,30,16,,61,0,10.9,,,,,,,
8,26.2,31,16,,58,0,10.9,,,,,,,
9,26.2,32,18,,57,0,10.9,,,,,,,
10,27.4,33,16,,51,0,10.5,,,,,,,
11,29.3,34,17,,46,0,10.8,,,,,,,
12,28.7,33,22,,53,0,10.6,,,,,,,
13,27,32,22,,53,0,10.9,,,,,,,
14,24.7,29,22,,68,0,11.1,,,,,,,
15,24.7,29,19,,69,0,10.9,,,,,,,
16,21.3,24,18,,77,0,11.1,,,,,,,
17,16.9,20,15,,79,,11.3,,,,,,,
18,20.7,24,18,,74,0,11.3,,,,,,,
19,24.6,30,16,,61,0,10.9,,,,,,,
20,25.2,31,16,,60,0,10.6,,,,,,,
21,24.5,28,21,,62,0,10.9,,,,,,,
22,24,28,17,,59,0,10.9,,,,,,,
23,26,31,15,,53,0,11.1,,,,,,,
24,23.8,27,19,,65,0,11.3,,,,,,,
25,26,32,14,,48,0,10.8,,,,,,,
26,24.4,30,15,,53,0,10.8,,,,,,,
27,25.8,30,15,,50,0,10.9,,,,,,,
28,25.9,31,16,,48,0,10.6,,,,,,,
29,26.8,33,17,,42,0,10.6,,,,,,,
30,24.9,30,17,,53,0,10.8,,,,,,,
31,24.7,30,16,,52,0,10.8,,,,,,,
