Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17.4,27.3,8,,45,0,10,8.3,13,,,,,
2,19.9,30.5,9.5,,35,0,10,21.3,40.7,,,,,
3,15.6,30.5,9,,33,0,10,15,25.9,,,,,
4,15.8,24.4,6.1,,33,0,10,7.6,14.8,,,,,
5,18,28,5.9,,33,0,10,6.9,13,,,,,
6,18,29,6.5,,34,0,10,8.7,16.5,,,,,
7,17.6,30,7,,38,0,10,5,11.1,,,,,
8,20.8,30,9.5,,35,0,10,6.1,16.5,,,,,
9,18.4,29.6,10.5,,50,0,10,9.8,13,,,,,
10,21.6,29,9.8,,40,0,10,6.9,13,,,,,
11,18.8,28.8,11.5,,52,0,10,9.1,16.5,,,,,
12,18.7,25.5,12,,54,0,10,11.1,20.6,,,,,
13,18.3,25.5,10.7,,48,0,13.4,7.8,16.5,,,,,
14,17.5,26.5,7.9,,48,0,10,3.1,7.6,,,,,
15,17.1,27.5,7.4,,47,0,10,6.9,13,,,,,
16,16.6,27.5,7.4,,46,0,10,5.7,9.4,,,,,
17,17.9,28.5,9.6,,48,0,10,4.4,13,,,,,
18,19.8,28.3,10,,38,0,12.9,7.8,13,,,,,
19,18.7,28.3,10.2,,39,0,12.9,7.4,11.1,,,,,
20,19.7,29.4,10.5,,35,0,10,8.7,13,,,,,
21,21.1,29.7,9,,31,0,10,12,16.5,,,,,
22,18.6,29.7,8.3,,35,0,10,6.1,11.1,,,,,
23,17.7,29,8.5,,56,0,10,11.1,16.5,,,,,
24,18.5,28.2,8.5,,45,0,10,5.7,14.8,,,,,
25,17.6,28.2,9,,29,0,10,15,20.6,,,,,
26,11.8,24.4,4.6,,40,0,10,6.9,13,,,,,
27,12.2,23,3.5,,39,0,10,9.6,13,,,,,
28,13.9,23,5,,40,0,10,6.5,13,,,,,
29,14.7,22.9,5.5,,51,0,10,9.4,18.3,,,,,
30,15.9,23.2,6.3,,54,0,10,10.2,22.2,,,,,
31,19.7,25.7,8.4,,48,0,10,12.6,14.8,,,,,
