Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,15.6,24.5,8.5,,48,0,10,9.8,25.9,,,,,
5,,,,,,,,,,,,,,
6,12.2,21.2,4.5,,54,0,10,8.5,16.5,,,,,
7,,,,,,,,,,,,,,
8,15.1,21.1,4.6,,38,0,10,5.2,9.4,,,,,
9,13.4,21.5,4,,41,0,10,11.1,20.6,,,,,
10,,,,,,,,,,,,,,
11,13.3,22.4,1.3,,41,0,10,3.3,7.6,,,,,
12,,,,,,,,,,,,,,
13,14.4,23.2,3.3,,47,0,10,5,11.1,,,,,
14,16.8,24.5,8.5,,46,0,10,9.3,13,,,,,
15,,,,,,,,,,,,,,
16,18.4,25.7,5.6,,28,0,10,7,11.1,,,,,
17,12.8,25,4,,34,0,10,7,11.1,,,,,
18,11.9,25,3.3,,41,0,10,5,11.1,,,,,
19,21.2,25.7,14.2,,26,0,10,5.9,13,,,,,
20,14.2,25.7,4.8,,31,0,10,5.6,18.3,,,,,
21,16.6,24.2,2,,37,0,10,6.7,13,,,,,
22,14.9,25.5,1.4,,36,0,10,3.7,7.6,,,,,
23,19.4,27.9,5.7,,24,0,10,5.6,13,,,,,
24,18.4,27.9,6.5,,31,0,10,8.9,14.8,,,,,
25,,,,,,,,,,,,,,
26,23.5,28.2,18.3,,20,0,10,0.9,3.5,,,,,
27,13.1,28.2,2.8,,31,0,10,2.2,3.5,,,,,
28,16.1,26,3.5,,22,0,10,8.7,11.1,,,,,
29,,,,,,,,,,,,,,
30,15.4,25.5,5.5,,34,0,10,5.9,14.8,,,,,
31,18.3,27.4,7,,26,0,10,8,16.5,,,,,
