Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29.9,36.3,24.5,1008.6,55,0,12.6,15.7,29.4,,,,,
2,30.8,36.4,26.9,1008.9,55,1.02,15,6.5,18.3,,,,,
3,32.5,39.9,27,1007.6,48,0,13.7,8.5,11.1,14.8,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,34.3,40.2,29,1005.8,44,0,13.7,12,18.3,,,,,
7,29.8,39.1,25.5,1007.9,59,0,12.6,10.2,14.8,18.3,,,,
8,,,,,,,,,,,,,,
9,34.1,39.6,28.9,,,0,4.2,7.4,14.8,18.3,,,,
10,34.2,41,27.9,1007,27,0,8,7.6,7.6,11.1,,,,
11,,,,,,,,,,,,,,
12,34.8,39.4,29.5,1007.6,40,0,13,13.3,18.3,,,,,
13,,,,,,,,,,,,,,
14,31.4,34,27.5,1007.6,48,0,13.7,16.7,22.2,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,33.3,39,28.9,1008.2,48,0.51,15,8.3,14.8,,,,,
26,31,36,27.9,1009,48,0,13.7,12.8,25.9,,,,,
27,31.9,41,24.1,1009,48,0,13.7,9.4,11.1,,,,,
28,31.1,36,26.5,1008.2,50,0,13.7,16.7,25.9,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
