Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,31.3,37.8,27,1008,41,0,14,9.6,14.8,,,,,
2,33.4,39.4,27.7,1006.9,40,0,16.3,4.6,11.1,,,,,
3,34.7,41.1,28.7,1006.4,41,0,18.2,7,11.1,,,,,
4,29.3,34.3,25.8,1008.5,52,0,12.6,11.9,18.3,,,,,
5,34.6,41.2,27.3,1007.7,36,0,15,1.9,3.5,,,,,
6,35.2,41.2,30.5,1006.3,37,0,12.1,9.1,11.1,,,,,
7,33.9,40,27.4,1007,40,0,14.3,5.9,11.1,,,,,
8,31.8,38,27.4,1007.5,48,0,11.7,7.4,11.1,,,,,
9,35.1,42.8,28.7,1005,32,0,13.7,2.8,11.1,,,,,
10,,,,,,,,,,,,,,
11,35.8,42,28.1,1005.8,37,0,18.5,6.3,11.1,,,,,
12,36.2,42.3,29.9,1005.3,33,0,16.4,2.6,7.6,,,,,
13,35,40.2,29,1005.7,40,0,17.1,5,11.1,,,,,
14,34.6,39.5,30,1006,42,0,15,7.4,11.1,,,,,
15,33.8,40.3,29.5,1007.6,43,0,17.9,4.3,11.1,,,,,
16,,,,,,,,,,,,,,
17,32.7,39.4,21.7,1008.2,47,0,18.3,4.3,11.1,,,,,
18,34.5,41,30,1005.7,42,0,16.7,6.3,11.1,,,,,
19,32.1,37.5,27.1,1005.5,43,0,15,7,11.1,,,,,
20,35.1,38.8,30.8,1008.2,35,0,19,6.7,11.1,,,,,
21,33.4,39.8,27.9,1007.8,43,0,18.5,4.8,11.1,,,,,
22,29.9,38,23.5,1008.4,52,4.06,17.9,7.4,14.8,,,,,
23,32.2,38.3,25.8,1007.7,49,0,19.3,7.6,11.1,,,,,
24,33.4,39.4,27.4,1007.3,45,0,17.9,7.6,11.1,,,,,
25,33.7,40.6,28.2,1006.9,45,0,17.5,7,14.8,,,,,
26,34.1,42,27.2,1006.8,40,0,17.1,6.5,11.1,,,,,
27,34,41.5,27.9,1007.3,42,0,18.2,5,14.8,,,,,
28,33.7,40.8,28.7,1008.4,45,0,17.7,7,11.1,,,,,
29,33.6,39.8,28.9,1008.6,47,0,16.9,7.4,14.8,,,,,
30,31.5,39.5,29.4,1008.8,53,0,16.9,6.1,11.1,,,,,
31,31.7,38.3,27.5,1009.2,51,0,18.3,8,11.1,,,,,
