Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.7,33,25.2,1010.8,70,0,15,3.7,7.6,,,,,
2,27.4,31.4,21.9,1010.9,77,10.92,16.3,3.7,7.6,,,,,
3,,,,,,,,,,,,,,
4,30.9,35.4,26.1,1009.5,66,0,19,7.4,11.1,,,,,
5,31.6,37.1,25,1006.5,56,0,18,7.4,11.1,,,,,
6,30.3,35.1,25,1007.0,57,0,18,6.9,7.6,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,32.4,36.9,28,1007.8,52,0,19,5.9,7.6,,,,,
11,30.6,37,23.9,1007.1,57,0,15,4.6,11.1,,,,,
12,33.1,38.8,24.7,1005.3,43,0,18.8,6.5,11.1,,,,,
13,27.4,33,21.5,1009.0,71,4.06,16.7,6.9,11.1,,,,,
14,26.8,33.2,21.7,1011.8,69,0,15,5,11.1,,,,,
15,31.1,37,25.2,1010.6,51,0,10.8,4.3,11.1,,,,,
16,31.6,38,24.4,1008.6,46,0,8.9,3.1,7.6,,,,,
17,33.8,36.7,30.1,,40,0,9.5,5.6,11.1,,,,,
18,31.3,38.1,24.7,1009.0,49,0,10,3.1,11.1,,,,,
19,29.6,38.2,24.5,1009.5,49,0,10,3.7,11.1,,,,,
20,31.9,37.7,23.3,1009.1,44,0,13,5.2,11.1,,,,,
21,,,,,,,,,,,,,,
22,31.1,38.5,23.7,1009.0,46,0,15,2.4,7.6,,,,,
23,32.2,38.2,22.5,1008.9,36,0,15,5.9,18.3,,,,,
24,31.3,38.6,23,1009.5,37,0,15,8,22.2,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,29.1,38,21.3,1010.2,35,0,15,0,,,,,,
28,30.1,38,22.5,1008.4,40,0,13.7,2.8,7.6,,,,,
29,30,36.8,25.3,1009.3,39,0,15,5.6,14.8,,,,,
30,29.1,35.3,21.2,1010.3,28,0,12.1,6.7,18.3,,,,,
31,,,,,,,,,,,,,,
