Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,32.6,39.8,26.1,1006.5,30,0,15,7.4,14.8,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,31.1,35.2,28,1009.9,37,0,0.8,10.2,14.8,,,,,
5,33.7,40.5,28.5,1008.1,28,0,1.9,2.8,11.1,,,,,
6,34.4,42,28.7,1007.0,30,0,3.4,6.5,11.1,,,,,
7,33.3,39,29,1006.6,46,0,10,5.6,14.8,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,33.1,40.5,25.6,1006.0,21,0,15,3.7,11.1,16.5,,,,
12,33.4,40,27.5,1005.5,37,0,11.4,2.8,7.6,14.8,,,,
13,31.6,38.5,25.6,1006.3,47,0,13.7,13.9,14.8,,,,,
14,31.3,40,25.4,1007.3,47,0,15,1.9,7.6,13,,,,
15,,,,,,,,,,,,,,
16,34.1,42,26.7,1005.9,24,0,11.3,3.7,14.8,16.5,,,,
17,33.2,40.8,26.6,1006.3,30,0,15,0.9,3.5,18.3,,,,
18,33.5,41.1,27,1006.4,42,0,15,4.6,11.1,13,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,30.8,40.4,25,1006.5,36,0,10.9,1.5,7.6,16.5,,,,
23,33,40.4,26,1007.4,32,0,13.7,4.6,11.1,16.5,,,,
24,32.2,40.2,26,1008.3,39,0,15,9.4,14.8,16.5,,,,
25,33.7,41,26.8,1007.1,37,0,15,8.5,11.1,18.3,,,,
26,34.6,40.6,29.5,1006.3,36,0,15,9.4,14.8,16.5,,,,
27,32.9,39.5,28.2,1007.2,40,0,15,2.8,7.6,16.5,,,,
28,33.3,41,27,1007.5,34,0,15,0,,13,,,,
29,33.3,41.8,26.6,1007.5,24,0,15,0.9,3.5,16.5,,,,
30,32.6,41.6,24.8,1007.0,22,0,15,2.8,11.1,16.5,,,,
31,,,,,,,,,,,,,,
