Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,26.3,31,23,1012.3,86,0,10,1.5,7.6,,,,,
4,24.8,29,20.2,,,0,10,7.4,18.3,,,,,
5,25.4,32,22.6,1013.9,83,0,10,0,,,,,,
6,29.3,32.4,23,1012.4,69,0,10,7.4,18.3,,,,,
7,28.2,31,24,1011.7,78,0,10,1.9,11.1,,,,,
8,,,,,,,,,,,,,,
9,28.8,33,24.8,1010.0,71,0,12.6,7.4,11.1,,,,,
10,,,,,,,,,,,,,,
11,28.4,32,23,1009.7,77,0,12.6,5.6,14.8,,,,,
12,,,,,,,,,,,,,,
13,27,32,23,1010.4,78,,10,2.2,11.1,,,,,
14,27.2,31,23,1011.4,77,0,10,2.2,11.1,,,,,
15,25.7,32,22.2,1011.1,85,0,10,2.2,11.1,,,,,
16,,,,,,,,,,,,,,
17,28.8,32.6,25.2,1010.0,76,0,12.1,8.3,11.1,,,,,
18,25.2,27,23,1011.8,87,0,10,3.7,7.6,,,,,
19,26.3,31.8,22,1010.2,82,17.02,11.4,6.3,18.3,,,,,
20,26.4,29,23,1010.6,83,6.1,10,1.5,7.6,,,,,
21,28.1,32.2,26.2,,78,0,12.6,4.6,11.1,,,,,
22,27.6,31.4,25,1011.9,81,0,10,3.1,13,,,,,
23,,,,,,,,,,,,,,
24,25.8,31.8,21.8,1010.0,80,12.95,10,3.7,11.1,,,,,
25,28.7,33,23.6,1010.4,78,3.05,13,8.1,14.8,,,,,
26,26.1,31.4,22,1011.5,86,17.02,10.9,2.2,11.1,,,,,
27,27.3,33,21,1011.6,74,1.02,10,5.7,7.6,,,,,
28,,,,,,,,,,,,,,
29,27.2,32.8,23.4,1010.1,82,0,11.6,3.1,11.1,,,,,
30,27.8,31.6,23.8,1010.5,81,0,10,8,22.2,,,,,
31,28.8,33,21.6,1011.0,70,0,15,5.6,14.8,,,,,
