Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,22.3,28,20,1008.8,91,2.03,11.4,9.8,10.7,,,,,
18,,,,,,,,,,,,,,
19,22.8,29,19,1009.6,83,1.02,16.4,8.1,14.8,,,,,
20,21.7,27,19,1009.5,90,55.12,13.4,4.8,7.2,,,,,
21,21.8,26,19,1009.7,88,3.05,11.9,4.3,7.2,,,,,
22,,,,,,,,,,,,,,
23,22.6,28,18,1009.7,82,23.11,14,1.5,7.2,,,,,
24,23.2,28,20,1008.9,86,0,17.5,7.2,10.7,,,,,
25,22,28,18,1009.9,85,13.97,16.6,7.2,10.7,,,,,
26,,,,,,,,,,,,,,
27,21.8,32,18,1009.7,77,2.03,13.7,10.9,14.8,,,,,
28,23.2,29,18,1009.4,80,9.91,25.7,6.3,14.8,,,,,
29,23.8,27,21,1008.5,83,0,20,11.9,21.9,,,,,
30,22.3,29,18,1008.4,86,25.91,14.6,10.9,18.3,,,,,
31,22.5,30,19,1008.3,88,0,13.7,9.1,14.8,,,,,
