Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,27.7,29.6,24,1015.2,74,0,29.9,22.8,24.1,,,,,
7,27.6,29,22.8,1013.9,76,0,28.8,19.4,25.9,,,,,
8,,,,,,,,,,,,,,
9,27.6,29.2,25.6,1013.4,75,0,18,18.1,27.8,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,27.7,29.8,24.4,1012.8,76,0,9,14.8,20.6,,,,,
17,28,30.6,25,1013.1,72,0,10.5,12,18.3,,,,,
18,,,,,,,,,,,,,,
19,28.5,31.6,24.6,1011.4,60,0,14.5,13,24.1,,,,,
20,28.7,31.2,27,1011.0,59,0,20.3,20.9,27.8,,,,,
21,26.4,29.2,24.8,1012.2,75,0,21.2,16.1,27.8,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,27.8,31,24,1013.6,63,0,26.2,6.9,11.1,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
