Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,19.6,23,18,,63,0,13.2,28.7,33.5,,,,,
2,20.2,24,18,1014.5,64,0,11.6,25.6,31.3,,,,,
3,20.4,24,18,,67,0,7.7,25.2,33.5,,,,,
4,20.2,24,18,1016.0,62,0,7.9,27.2,35.2,,,,,
5,19.5,23,18,1016.9,63,0,10.9,25.4,35.2,51.9,,,,
6,19.2,22,17,,61,0,12.4,25.2,33.5,,,,,
7,19.4,22,17,,57,0,13.7,30,40.7,,,,,
8,18.9,23,17,1017.6,61,0,14.6,27.6,33.5,,,,,
9,19.6,23,18,1016.1,60,0,14.2,22.6,27.8,,,,,
10,19.9,23,18,,65,0,13.2,22.4,29.4,,,,,
11,19.5,23,18,1015.3,68,0,13.8,23,31.3,,,,,
12,19.3,22,18,1016.4,66,0,14,20,27.8,,,,,
13,19.6,22,19,1015.9,69,0,3.9,21.5,29.4,,,,,
14,19.4,23,17,1014.5,60,0,5.3,17.8,25.9,,,,,
15,19.7,24,17,,59,0,12.4,12.6,20.6,,,,,
16,19.9,24,17,1013.2,65,0,13,14.3,22.2,,,,,
17,19.9,23,18,1014.8,67,0,13.4,17.4,25.9,,,,,
18,20.5,23,19,1014.3,67,0,13.5,20.7,27.8,,,,,
19,19.4,22,17,1013.9,74,0,14.5,18.3,35.2,,,,,
20,19.8,23,17,,75,0,14.6,13.7,20.6,,,,,
21,19.8,24,18,,69,0,13.2,18.5,25.9,,,,,
22,19.7,24,18,1013.7,69,0,14,13.9,18.3,,,,,
23,20.2,25,17,,66,0,12.7,9.4,16.5,,,,,
24,20.8,25,17,1016.9,66,0,15.8,15.9,25.9,,,,,
25,20.6,24,18,1016.4,59,0,14.8,15.6,22.2,,,,,
26,20.4,24,19,1015.0,60,0,14.5,14.3,18.3,,,,,
27,20.1,23,18,,66,0,14.5,12.6,20.6,,,,,
28,20.8,25,18,1015.2,73,0,14.2,12.2,20.6,,,,,
