Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,22.9,27,19.5,1011.9,87,19.05,27.5,5.6,11.1,,,,,
3,24.8,29,17.3,1011.7,81,5.08,32.5,1.9,7.6,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,25.9,31.6,19.1,1009.6,75,0,25.1,0,,,,,,
8,22.5,28.1,18.8,1011,86,59.94,23,5.9,18.3,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,26.3,31.8,20,1010.7,77,0,27.5,1.9,7.6,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,25.7,33.1,20.6,1009.8,82,0,24.9,0,,,,,,
22,23.8,31,19.6,1010,85,17.02,20,2.6,7.6,,,,,
23,27.3,31.3,20.3,1009.3,76,0,27.5,0.9,3.5,,,,,
24,25.2,31.8,20.8,1009,82,0.51,20,2.2,7.6,,,,,
25,26.3,32,20.8,1009.6,78,0,27.5,0,,,,,,
26,23.2,29.2,19.2,1009,,67.06,20.3,8.3,22.2,,,,,
27,,,,,,,,,,,,,,
28,22.3,25.6,20.2,1009.6,94,,7.6,0,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,21.7,22.8,20,,92,9.91,15,3.7,14.8,,,,,
