Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.2,33.6,16.6,1012.1,81,16,18.2,0.6,3.5,,,,,
2,24.1,28.4,17.3,,81,1.02,27.5,0,,,,,,
3,24.1,29.2,19.2,1010.6,79,0,24.9,0,,,,,,
4,25.9,31.4,17.9,1009.5,72,0,24,0,,,,,,
5,23.4,26.6,17.9,1011,82,0,17.5,0,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,23.8,29,20,1008.7,82,1.02,22.5,1.5,7.6,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,22.4,23.8,17.3,1011.6,89,0.25,24.9,1.9,7.6,,,,,
26,24.4,28.8,20,1009.7,79,0,17.5,0.9,3.5,,,,,
27,23.2,30.2,16.9,1010.1,44,3.05,10.3,0,,,,,,
28,23.3,29,14.9,1011.4,82,3.05,20,0.9,3.5,,,,,
29,,,,,,,,,,,,,,
30,23.9,30.4,17,1010.6,82,5.08,20,1.7,7.6,,,,,
31,,,,,,,,,,,,,,
