Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,34.8,38.5,24,,43,0,10,12,14.8,,,,,
3,30.8,34.8,22,,57,5.08,9.5,7.4,11.1,,,,,
4,32.2,36.6,25.2,,51,0,9.5,5.7,7.6,,,,,
5,34.7,38.6,24.8,,41,0,10,9.4,11.1,,,,,
6,34,39,22.5,,42,0,10,4.6,11.1,,,,,
7,33.5,37,21,,51,0,10,9.4,11.1,,,,,
8,34.3,38.2,24.5,,41,0,10,7.4,11.1,,,,,
9,35.1,39.6,23.8,,35,0,10,7.4,11.1,,,,,
10,33.4,38.5,24.5,,50,0,10,10.2,11.1,,,,,
11,,,,,,,,,,,,,,
12,33,37.8,21.5,,26,0,10,10.2,14.8,,,,,
13,32.3,37.5,18.5,,24,0,10,18.5,25.9,,,,,
14,32.6,37.8,21,,22,0,8,15.7,22.2,,,,,
15,32.8,37.8,21.5,,22,0,10,9.3,14.8,,,,,
16,33.5,38.5,21.4,,36,0,10,5.7,7.6,,,,,
17,32.7,38,23,,25,0,10,11.1,14.8,,,,,
18,32.9,38.8,19,,22,0,10,5.6,14.8,,,,,
19,33.4,38.8,19,,22,0,10.5,13,22.2,,,,,
20,33.6,39,18.5,,22,0,10,14.4,22.2,,,,,
21,34.6,40,18.9,,19,0,10,12,18.3,,,,,
22,,,,,,,,,,,,,,
23,34.3,40,18.4,,20,0,10,4.6,11.1,,,,,
24,33.3,39.5,18.5,,20,0,10,3.7,7.6,,,,,
25,33.8,39.8,18.5,,24,0,10,6.5,11.1,,,,,
26,33.3,39.4,19.5,,24,0,10,9.3,18.3,,,,,
27,33.8,39.5,20.8,,21,0,10,13.9,18.3,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,32.6,38.4,19,,19,0,10,14.8,18.3,,,,,
31,,,,,,,,,,,,,,
