Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-37.7,-32.3,-46.2,,,0,,,,,,,,
2,-38.4,-32.7,-45.1,,,0,,,,,,,,
3,-37.1,-31.3,-43.3,,,0,,,,,,,,
4,-36.3,-30.9,-42.8,,,0,,,,,,,,
5,-31.3,-25.4,-42.9,,,0,,,,,,,,
6,-30.7,-27.9,-35.1,,,0,,,,,,,,
7,-32.9,-24.4,-39.4,,,0,,,,,,,,
8,-32.8,-26.1,-38.5,,,0,,,,,,,,
9,-31.7,-26.1,-39.5,,,0,,,,,,,,
10,-29.5,-24.2,-33.7,,,0,,,,,,,,
11,-25.7,-20.2,-33.8,,,0,,25.7,32.4,,,,,
12,-28.8,-20.2,-36.1,,,0,,31.7,57.6,,,,,
13,-28.1,-23.3,-34.6,,,0,,45.7,61.1,,,,,
14,-30.1,-23.7,-36.5,,,0,,51.3,72,,,,,
15,-29.2,-23.9,-35.4,,,0,,49.4,72,,,,,
16,-31.5,-25.1,-38,,,0,,47.4,57.6,,,,,
17,-31.1,-24.4,-35.9,,,0,,36.9,53.9,,,,,
18,-30.8,-24.4,-37.4,,,0,,39.3,61.1,,,,,
19,-27.8,-26.2,-30.4,,,0,,45.9,53.9,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
