Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-46.3,-41.2,-47.1,,,0,8,23.5,29.4,,,,,
2,-44.7,-43.4,-46.2,,,0,7.2,32.4,37,,,,,
3,-41.9,-40,-45.4,,,0,3.2,32.4,37,,,,,
4,-45.1,-40.7,-48,,,0,10.9,17.4,24.1,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,-44.8,-41.1,-48.6,,,0,5.6,25,29.4,,,,,
8,-19.1,-9.6,,,,0,40.6,12,35.2,,,,,
9,,,,,,,,,,,,,,
10,-41.2,-40.5,-42.1,,,0,8.7,25.4,29.4,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,-36.4,-35,-37.5,,,0,6,19.8,24.1,,,,,
15,-37.1,-35.4,-38.1,,,,7.1,18.5,22.2,,,,,
16,-36.5,-35,-37.4,,,0,6.8,23.2,25.9,,,,,
17,,,,,,,,,,,,,,
18,-35.8,-34,-38.2,,,0,4.2,29.1,40.7,,,,,
19,,,,,,,,,,,,,,
20,-39.2,-38.3,-39.7,,,0,10.9,22.2,24.1,,,,,
21,-36.2,-34.2,-39.4,,,,6.8,21.9,24.1,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,-30.6,-30.2,-31.3,,,0,4.8,27.8,31.3,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
