Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,0.8,2.6,-0.2,984.7,95,5.08,6.6,19.4,33.5,,,,,
2,-0.7,2.6,-1.6,983.6,86,8.89,7.7,49.6,70.2,92.4,,,,
3,1.3,3.4,-1.2,997.7,85,2.03,17.5,3.1,9.4,,,,,
4,4.5,6.2,0.7,998.4,88,1.02,10.6,15.9,33.5,,,,,
5,4.1,6.2,2.8,996.4,97,4.06,2.9,13.3,27.8,,,,,
6,3.6,5.5,2.2,988.8,94,4.06,8.5,16.1,25.9,,,,,
7,2.8,3.8,1.4,977.4,94,,7.4,10.2,40.7,,,,,
8,3.6,5.2,1.4,990.3,92,0,9,18.9,33.5,,,,,
9,3.4,5.6,2.7,992.7,93,1.02,7.4,11.5,16.5,,,,,
10,3.2,4.4,2.8,992,94,0.51,9,13.5,27.8,,,,,
11,3.9,5.6,3,995.3,96,2.03,10.6,21.1,33.5,,,,,
12,4.1,5.2,3.1,995.6,93,0.25,6.3,17,24.1,,,,,
13,4,6.2,3.3,996.1,92,1.02,11.3,28.9,37,,,,,
14,3.4,5.2,2.2,1002.5,82,0,19.3,35.4,55.4,77.8,,,,
15,2.9,5.8,2.1,995.9,95,0,9.3,16.5,22.2,,,,,
16,2.4,4.2,1.4,981.4,89,,16.4,19.6,37,,,,,
17,2.1,4.8,0.8,992.5,82,1.02,20,12.4,37,,,,,
18,2.4,4.2,1,999.2,85,0,14.2,4.4,14.8,,,,,
19,3.4,5,2.5,987.3,86,0,10.3,15.7,37,,,,,
20,2.4,5.7,1.2,989.3,,7.87,19.3,8.3,22.2,,,,,
21,0.9,3.9,-0.5,992.3,92,0,16.1,21.3,33.5,,,,,
22,2.8,19.3,-0.2,984.2,97,4.06,1,7.8,48.2,,,,,
23,2.1,5,0.8,984.6,95,2.03,2.6,17.8,46.5,55.4,,,,
24,1.2,3.6,-0.4,994.8,89,0,9.3,19.6,55.4,64.8,,,,
25,2.9,4.5,0.9,1001.3,94,0.51,8,4.4,11.1,,,,,
26,3.4,5.1,3,1001.1,96,7.11,8,4.8,11.1,,,,,
27,3.1,4.4,2,992.9,96,0.51,5.6,15.7,37,,,,,
28,2.7,4.6,2.1,980,90,27.94,9.3,30.4,64.8,87,,,,
