Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-26.1,-18.9,-31.1,988.5,,,,41.1,61.1,,,,,
2,-33.1,-27.2,-36.1,983,,0,0.2,65.7,79.5,,,,,
3,-31.4,-27.2,-38.9,992.5,,0,50.1,24.4,31.3,,,,,
4,-30.4,-25,-33.9,992,,0,38.5,30.6,35.2,,,,,
5,-35,-32.8,-37.2,992.3,,0,18,35.7,37,,,,,
6,-35.7,-32.2,-38.9,994.3,,0,15.9,37.6,44.3,,,,,
7,-31.8,-28.9,-36.1,983.1,,0,0.6,46.7,57.2,,,,,
8,-32.9,-27.8,-36.1,981.5,,0,28.5,24.1,35.2,,,,,
9,-24.7,-17.8,-31.1,989.9,,0,42.5,6.1,9.4,,,,,
10,-18.6,-17.2,-20,999.3,76,,42.5,6.9,14.8,,,,,
11,-26.4,-17.8,-30,997.3,,0,0.2,42.2,48.2,,,,,
12,-20.8,-12.8,-33.9,995.9,,0,50.1,13.3,31.3,,,,,
13,-22.3,-12.8,-28.9,997.2,,0,50.1,28.7,50,,,,,
14,-31.1,-20,-33.9,991.7,,0,37.5,42,55.4,,,,,
15,-30.6,-28.9,-33.9,992.5,,0,50.1,31.9,37,,,,,
16,-28.3,-25,-32.2,990.3,,0,50.1,26.3,27.8,,,,,
17,-30.4,-25,-32.8,989.9,,,50.1,14.8,27.8,,,,,
18,-23.5,-16.1,-32.2,989.1,,0,42.5,9.3,22.2,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
