Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-9.8,-7.4,-13.4,987.2,73,0.76,7.4,37,46.5,,,,,
2,-2.2,0.4,-8,1003.6,73,0,10.9,32.2,51.9,,,,,
3,-2.2,0.4,-3.4,1018.3,75,0,10.5,42.8,66.5,,,,,
4,1.1,2,-3.4,997.9,91,4.06,3.1,80.2,96.5,,,,,
5,1.2,1.9,0.6,987.9,85,5.08,8.5,70.2,83.5,,,,,
6,1.1,2,-0.2,993.2,93,0.25,4.7,70.2,81.7,,,,,
7,2.8,3.3,0.6,981.8,87,0,3.2,86.9,100,,,,,
8,-2.3,3.3,-5.8,973.8,77,7.11,8.5,48.5,61.1,,,,,
9,-3.2,-1.2,-5.4,974.3,75,0,7.1,58.3,77.8,,,,,
10,-5.4,-0.3,-10.2,977.3,74,0,8.9,63.7,85.2,,,,,
11,-1.2,-0.6,-9.6,998.4,87,0,6.6,48.9,61.1,,,,,
12,-0.7,-0.3,-1.6,997.5,88,0,5.1,44.8,66.5,,,,,
13,0.4,1.4,-0.6,1007.2,87,0,6.4,48,63,,,,,
14,0.6,1.4,-0.5,993.1,90,5.08,5,58.5,96.5,,,,,
15,-0.4,1.6,-1.9,978.6,78,0,9,51.5,68.3,,,,,
16,-0.3,-0.1,-1.9,984,86,0,7.6,45.4,55.4,,,,,
17,0.4,1.2,-1,991.3,92,0,4.8,52,70.6,,,,,
18,0.7,1.4,0.2,990.3,85,0.25,6,60,70.6,,,,,
19,0.9,1.6,-0.2,1000.8,85,0.25,9.7,50.2,74.1,,,,,
20,2.1,2.2,0.8,990.4,85,3.05,8.9,55.6,63,,,,,
21,0.2,2.4,-2.5,988.3,84,0,7.2,48.3,88.9,,,,,
22,0.4,3.3,-1.6,987.9,80,4.06,7.9,62,85.2,,,,,
23,0.5,1.6,-2,996.2,86,0.25,4.8,76.7,92.4,,,,,
24,1.6,2.2,0.8,996.1,87,3.05,5.3,72,92.4,,,,,
25,1.5,2.3,1.2,1005.2,92,0,3.5,66.5,87,,,,,
26,1.9,3.1,1.2,998.6,85,0.51,5.5,36.1,50,,,,,
27,-0.7,3.1,-1.4,990.3,86,0,6.6,36.5,48.2,,,,,
28,0.3,1.9,-1.4,997.5,86,0,9,28.9,38.9,,,,,
29,0.6,3,-0.2,1003.5,95,0,2.9,50.7,70.6,,,,,
30,0.4,1,-0.2,1001.9,90,0.76,4.2,47,70.6,,,,,
