Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-0.9,-0.1,-11,990.2,84,0.51,6,18.9,27.8,,,,,
2,0.3,1.9,-1.8,980.5,90,0.25,5.8,29.6,37,,,,,
3,-6.3,1.9,-10.7,990.5,86,0.25,8.7,21.1,25.9,,,,,
4,-7.1,-1.6,-13.5,993.5,93,0,6.8,18.1,37,,,,,
5,-11.1,-1.5,-15.6,1008.9,89,2.03,8.2,18.1,29.4,,,,,
6,-1.5,0.5,-16,1009.8,94,0,6,33.7,37,,,,,
7,0.4,1.3,-1.3,990.8,95,14.99,5,16.1,25.9,,,,,
8,0.4,2.2,-0.8,998.5,90,0,5.8,31.3,42.4,,,,,
9,-0.1,3.5,-1.1,994.8,91,0.51,4.8,22.6,37,,,,,
10,-1.3,-0.1,-4.2,984,96,0.25,2.9,21.3,44.6,,,,,
11,-1.9,-0.2,-3,985,77,3.05,5.8,25,33.5,,,,,
12,-1,0,-3.4,996.8,86,0,8,27.4,38.9,,,,,
13,-0.7,0.7,-1.9,1006,94,0,4.2,29.4,40.7,,,,,
14,0.4,2.2,-2.8,984.6,95,9.91,2.6,31.7,44.6,,,,,
15,-2,1.5,-3.5,967.2,92,1.02,5.5,33.2,44.6,,,,,
16,-6.3,-1.4,-11.1,976.9,89,0.76,8,15.6,51.9,,,,,
17,-10.9,-2.6,-13.7,985.8,76,0.51,8.4,16.3,20.6,,,,,
18,-8.8,-4.3,-14.5,977.9,85,0,5.5,10.7,16.5,,,,,
19,-8.3,-3.4,-15,979.3,92,1.02,5.6,13.3,25.9,,,,,
20,-18.3,-3.2,-23,988.5,99,2.03,1.1,30,46.5,,,,,
21,-20.5,-15.1,-25.2,1003.8,87,0.25,3.9,30.9,48.2,,,,,
22,-20.1,-14.5,-21.6,1016.1,92,0,9.3,15.6,25.9,,,,,
23,-14.2,1,-22.2,1013.5,91,0,4,22.8,35.2,,,,,
24,-4.3,-2.9,-16,995.7,90,0,4.8,23.7,37,,,,,
25,-5.1,-2,-8.1,990.4,96,6.1,4.3,8.3,14.8,,,,,
26,-9.6,-4,-17.2,1005.7,94,0,6.9,19.4,37,,,,,
27,-2.1,0.8,-17.2,986.6,94,0.25,1.4,35.2,50,,,,,
28,-10.2,1.6,-21.9,977,95,5.08,3.5,16.1,40.7,,,,,
29,-19.1,-7.1,-26,992.9,86,0,4,19.3,33.5,,,,,
30,-3.3,-1.4,-7.1,982.7,83,0.51,5.3,23,29.4,,,,,
31,-7.1,1.5,-18.1,966.1,90,1.02,1.8,30.6,40.7,,,,,
