Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.6,29,16,,32,0,8.2,12.6,37,46.5,,,,
2,21.4,27,16,,31,0,10,13.7,37,74.1,,,,
3,21.3,27,15,,29,,10.6,15.2,33.5,51.9,,,,
4,20.7,28,14,,31,,10.1,18.1,37,55.4,,,,
5,14.6,24,9,,54,,9.7,13.1,37,63,,,,
6,17.3,23,9,,30,0,10.3,13.5,37,55.4,,,,
7,18.1,25,11,,27,0,9.8,14.3,37,57.2,,,,
8,20.5,26,13,,22,0,9.8,20,37,74.1,,,,
9,21.8,27,15,,22,0,9.7,18.1,33.5,64.8,,,,
10,22.3,28,15,,23,0,9.8,14.8,46.5,64.8,,,,
11,22.6,28,15,,21,0,9.7,12.8,22.2,40.7,,,,
12,22.4,28,15,,24,0,10.3,12.8,27.8,55.4,,,,
13,22.2,28,15,,27,,9.5,12,40.7,59.4,,,,
14,19.6,27,13,,37,,10.5,10.9,40.7,55.4,,,,
15,17.2,25,12,,56,,9.2,9.8,31.3,,,,,
16,20.5,26,13,,29,0,10,15,37,59.4,,,,
17,21.8,27,13,,22,0,9.3,18.9,44.3,61.1,,,,
18,22.2,28,14,,23,0,9.8,12,20.6,40.7,,,,
19,19.8,28,14,,37,0,10.5,12,31.3,46.5,,,,
20,18.2,24,14,,39,,9.8,15.6,44.3,72.2,,,,
21,21.9,28,13,,23,0,10.3,17.4,37,64.8,,,,
22,23,29,15,,20,0,10,15.6,33.5,53.5,,,,
23,22.8,29,15,,23,0,9.8,12.6,40.7,,,,,
24,22.1,30,16,,27,0,9.2,11.7,37,83.2,,,,
25,25.1,32,17,,22,0,10,10.2,33.5,,,,,
26,26.5,32,18,,20,0,10.5,15.2,46.5,64.8,,,,
27,26.8,33,19,,18,0,10,13,33.5,,,,,
28,28.6,35,20,,16,0,10.1,18.9,37,61.1,,,,
29,26.1,31,21,,16,0,7.9,32.4,46.5,83.2,,,,
30,23.8,30,13,,16,0,8.2,20.4,53.5,81.3,,,,
