Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,0.3,2.7,-3,,90,0,7.9,23.5,37,,,,,
2,0.1,3.5,-5,,76,0,7.4,6.1,25.2,,,,,
3,0.3,3.6,-4,,75,0,8.7,5.6,18,,,,,
4,-0.7,4.6,-5,,81,0,6.8,9.8,29.4,,,,,
5,-0.7,3.9,-4.7,,80,0,5.8,5.2,18.3,,,,,
6,2.4,8.6,-4.1,,72,0,7.1,3.9,14.4,,,,,
7,3.8,10.4,-1.7,,72,0,6.9,6.1,22.2,,,,,
8,7,11.5,0.6,,74,0,6.1,5.9,24.1,,,,,
9,7.3,11.5,2.4,,81,2.29,8.7,15.6,40.7,,,,,
10,8.6,14,2,,74,0,7.4,10.9,25.9,,,,,
11,7.9,15.6,0,,73,0.25,6.9,32.4,63,74.1,,,,
12,2.6,15.6,0,,76,16.26,10.5,24.4,39.6,,,,,
13,1.8,6.5,-1.3,,76,16.26,10.5,10.9,50.4,,,,,
14,3.4,8.1,-2.8,,66,0,11.6,4.3,14.4,,,,,
15,5.2,9.1,0.9,,71,0,8.2,17.4,28.7,,,,,
16,0.9,4.4,-0.2,,80,0.25,7.6,15,29.4,,,,,
17,0.7,3.6,-1.5,,78,0,9,8.7,25.9,,,,,
18,1.8,7,-3.5,,73,0,10.9,9.4,32.4,,,,,
19,4.3,11.6,-1.5,,60,0,10.1,5,14.4,,,,,
20,5.4,12,-0.8,,54,0,10.9,10.4,33.5,,,,,
21,8.5,13.6,-0.3,,50,0,8,10.6,25.2,,,,,
22,6.2,12.9,3,,85,3.05,8.9,17.6,37,,,,,
23,6.7,11,1,,81,1.02,11.3,23.9,44.3,,,,,
24,8.1,13,0.6,,70,0,10.1,8.9,25.9,,,,,
25,10.8,17.2,4.1,,59,0,11.3,12,29.4,,,,,
26,11.2,16.6,3.9,,64,0,8,6.1,14.8,,,,,
27,10.3,15.1,5.9,,74,0,9.3,7.6,25.2,,,,,
28,11.2,17,4.5,,65,0,10.6,14.8,40.7,,,,,
29,13.2,18.6,5.2,,57,0,10.9,10.9,29.4,42.4,,,,
30,12.8,18.2,9.1,,72,1.52,10.8,13.1,32.4,,,,,
31,11.5,16,9,,90,6.6,7.9,11.7,29.4,,,,,
