Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.6,21.1,7.2,,43,0,34,,,,,,,
2,18.2,22.8,10,,39,0,34,4.4,11.1,,,,,
3,16.7,26.1,11.1,,52,0,22.5,0,,,,,,
4,,,,,,,,,,,,,,
5,20.7,23.9,17.8,,42,0,22.5,7.4,11.1,,,,,
6,18.5,27.8,11.1,,43,0,17.4,3.1,7.6,,,,,
7,20.3,28.9,10,,40,0,31.2,4.6,11.1,,,,,
8,20.3,27.8,16.1,,52,0.51,10,5.6,14.8,,,,,
9,16.7,23.9,13.9,,73,0.51,12.6,4.6,18.3,,,,,
10,19.8,27.8,15,,50,0,15,1.3,7.6,,,,,
11,16.1,23.9,13.9,,74,4.06,20,8.1,18.3,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,18.6,25,12.8,,38,0,23.3,1.3,7.6,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,12.5,17.2,8.9,,46,0,29.9,4.6,11.1,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,23.9,32.2,16.1,,41,0,28,0.9,3.5,,,,,
29,,,,,,,,,,,,,,
30,22.4,30,16.1,,43,0,28,2.2,7.6,,,,,
31,19.2,23.9,15,,43,0,22.5,6.5,42.4,,,,,
