Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.6,34.1,21.7,,77,0,9.5,15,25.9,,,,,
2,29.1,37,21,,71,0,7.4,15.4,28.7,,,,,
3,26.2,28.4,22.2,,97,0,9.5,41.7,70.2,88.9,,,,
4,25.8,29.9,20.4,,88,0,10,22.4,37,,,,,
5,26.2,32,20.1,,91,0,8.5,12.2,61.1,,,,,
6,26.1,30.7,20.5,,97,0,9.7,15,25.9,,,,,
7,27.1,34,20.1,,78,0,7.7,8.7,22.2,,,,,
8,27.1,32.6,20.6,,85,0,9.3,15.4,33.5,,,,,
9,25.2,28.9,22,,93,0,10.1,30.7,44.3,63,,,,
10,20.3,23,16.9,,99,6.1,8.7,42.2,48.2,66.5,,,,
11,19.4,22,16,,87,50.8,8.7,17.6,40.7,,,,,
12,22.8,27,15.2,,71,0,10,11.5,21.7,,,,,
13,23.9,27,19.5,,97,0,10.6,23.5,44.3,,,,,
14,22.9,26,20.6,,82,0,10.5,28.5,40.7,59.4,,,,
15,21.6,24.7,16.9,,78,,10.5,20.2,37,59.4,,,,
16,22.2,25.1,15,,61,0,10,17,35.9,,,,,
17,22.3,26.4,16.3,,65,0,10,13,32.4,,,,,
18,22,25.5,16.2,,81,0,10.1,10.7,22.2,,,,,
19,20.8,25.4,17,,83,0,10.1,10,22.2,,,,,
20,21.3,27.2,15.1,,71,0,9.8,7.2,14.8,,,,,
21,22.2,29,15.2,,69,0,9.2,7.8,18,,,,,
22,22.8,28.2,14,,84,0,7.9,12.6,25.9,,,,,
23,23.2,28,19,,88,0,10.5,19.4,37,,,,,
24,20.7,23,18,,100,2.03,10.8,25.7,37,,,,,
25,20.8,23,16,,93,0,11.1,8.1,14.8,,,,,
26,19.3,21.2,16,,99,11.94,9.8,9.4,18.3,,,,,
27,20.1,24,14.9,,99,99.06,8.5,8.1,21.7,,,,,
28,22,25.5,16.6,,99,0,10.3,15.9,32.4,,,,,
29,22.8,26.2,18.4,,99,0,10.6,17,32.4,,,,,
30,23.7,26.6,18.2,,100,0,10.5,23.7,37,,,,,
