Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,32.5,37,28.7,996.3,70,0,5.3,5.2,7.6,,,,,
2,31.1,35.4,27.5,996.8,72,3.56,5.3,7.4,14.8,,,,,
3,,,,,,,,,,,,,,
4,29.3,33,27.4,1000.7,82,2.29,5.3,4.6,11.1,,,,,
5,31.1,34.7,28,1001.2,78,0,5.3,26.9,92.4,,,,,
6,,,,,,,,,,,,,,
7,29.7,32.1,27,998.1,83,19.56,5.3,0,,,,,,
8,28.3,32.8,26.4,997.3,86,12.19,5.3,1.9,7.6,,,,,
9,,,,,,,,,,,,,,
10,28,29.6,27,995.8,92,8.13,5,7.4,11.1,,,,,
11,28.1,30,26.8,997.2,88,1.27,5.3,8.9,11.1,,,,,
12,28.7,33,26.6,998.5,87,28.19,5.3,5,7.6,,,,,
13,29.2,32.8,27.2,998.2,86,33.78,5.3,0.9,3.5,,,,,
14,29.9,33.8,27.4,997.4,85,1.02,5.3,2.8,5.4,,,,,
15,30.3,33.1,28,997.6,78,1.78,4.5,5.6,14.8,,,,,
16,30.6,34,27.3,998,75,0,5.3,6.5,11.1,,,,,
17,30.4,34,28,998.4,75,1.78,5.3,5,14.8,,,,,
18,30.2,33.6,27.5,999.3,79,0,5.3,4.1,11.1,,,,,
19,29,32.5,27.7,1000.8,82,2.03,5.3,8.9,11.1,,,,,
20,29.1,33,27,1002.2,78,0,5.3,8.7,16.5,,,,,
21,29.2,32.4,26.5,1002.9,78,1.02,5.3,10,18.3,,,,,
22,28.5,32.2,26,1004.4,79,2.54,5,3.5,3.5,,,,,
23,28.9,33.9,26.5,1003.8,83,18.8,5.3,0.9,3.5,,,,,
24,29.9,34.1,27.6,1003.1,82,11.43,5.3,5.6,7.6,,,,,
25,29.5,32.1,28.4,1002.9,86,0,5.3,2.8,7.6,,,,,
26,,,,,,,,,,,,,,
27,28.7,32.6,26.2,1000.2,81,13.72,5,3.1,7.6,,,,,
28,29.9,34.5,26.2,996.4,75,3.3,5,8.3,14.8,,,,,
29,29.5,33,27.4,998.2,72,0,5.3,13.3,16.5,,,,,
30,,,,,,,,,,,,,,
31,30.5,35,27,1001.6,76,0,5.3,1.3,5.4,,,,,
