Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,19.3,26.7,17,1014.1,79,0,,,,,,,,
18,18.6,27,13,1015.6,58,0,,1.9,7.2,,,,,
19,21.5,26.7,15,1015.2,59,0,,5.4,10.7,,,,,
20,16.6,22.2,13,1018.6,65,0,,1.9,7.2,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,21.3,28,17,1017.5,74,0,,0,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,23.5,29.5,15,,,0,,3.5,14.4,,,,,
28,19.8,30,18,1014.9,86,0,,0,,,,,,
29,22.6,28,18,1016.2,65,0,,3.5,7.2,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
