Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26,32.2,17.9,1011.9,44,0,3.4,12.4,22.2,,,,,
2,26.5,31.3,18,1011,53,0,3.2,7.8,18.3,,,,,
3,26.3,32.5,22,1008.5,70,0,3.1,8.1,14.8,,,,,
4,27,32,22,,71,0,3.7,5.9,22.2,,,,,
5,26.6,30.4,20.6,1009.8,66,0,4.5,11.7,18.3,,,,,
6,24.5,30.2,19.8,1008.9,77,23.37,4,10.9,22.2,,,,,
7,26.1,30.5,22,1009.2,74,0,4.2,5.6,14.8,,,,,
8,24.6,29,20,1009.2,79,0.76,3.7,9.1,29.4,,,,,
9,25.6,31,19.4,1008,62,0,4,11.7,25.9,,,,,
10,25.7,30.5,22,1008.6,77,11.43,4.3,15.4,22.2,,,,,
11,23.1,27.5,21.2,1009.4,90,46.99,3.9,11.9,16.5,,,,,
12,23.7,26,20.6,1009.6,84,21.34,3.5,3,14.8,,,,,
13,25.4,30.4,20,1012.3,65,0.25,4.2,14.6,33.5,,,,,
14,25.6,31,18.2,1012.8,42,0,4.8,18.7,27.8,,,,,
15,25.8,31.1,18.6,1012.2,37,0,4.8,18.5,35.2,,,,,
16,25,30.2,18,1010.1,42,0,4.8,17.6,33.5,,,,,
17,24.7,30,18,1010,61,0,3.9,4.8,18.3,,,,,
18,24.6,31,20,1011.2,73,0,3.5,7.6,25.9,,,,,
19,26.2,31,20,,73,0,3.5,7.2,20.6,,,,,
20,23.3,25.1,21.5,1011.3,83,4.57,3.4,8.3,33.5,,,,,
21,23.8,28,19,1012.6,68,0,3.7,12.8,22.2,,,,,
22,25.8,30.4,19,1011.8,60,0,3.7,8.1,22.2,,,,,
23,26.1,30,20,1011,68,0,4.2,9.6,22.2,,,,,
24,27.1,31,21.4,1010.7,75,0,3.4,8,22.2,,,,,
25,26.3,30.6,20,1011.4,70,0,4.5,9.4,25.9,,,,,
26,27,30,21,1011.4,71,0,4.7,8,14.8,,,,,
27,27.7,31,22.4,1011.2,72,0,3.9,12.2,25.9,,,,,
28,27.2,31,23.5,1011.3,78,0,4.3,16.7,27.8,,,,,
29,27.9,31,25,1009.6,77,0,4.7,22.8,33.5,,,,,
30,28.6,31.7,25.7,1010.8,79,0,4.8,29.4,55.4,,,,,
31,28.1,31.3,24,1011.8,78,0,5.6,19.6,27.8,,,,,
