Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.6,32,21,1008.3,87,0,3.9,3.1,5.4,,,,,
2,27.9,32.5,21,1008.7,85,7.87,3.7,2.2,5.4,,,,,
3,28.1,32.7,20.8,1009.3,82,0,4.2,1.5,3.5,,,,,
4,27.6,32.5,24,1009,87,13.97,3.9,2.4,5.4,,,,,
5,28.1,31.5,24,1008.4,84,28.96,5,2.8,5.4,,,,,
6,27,32.5,22,1008.4,86,44.96,3.9,4.8,7.6,,,,,
7,27.9,30,21.8,1006.8,88,2.03,3.5,5.2,9.4,,,,,
8,29.8,32.1,27.4,1006.4,84,0,3.9,5,11.1,,,,,
9,28.7,33,21,1007.7,85,0,4.2,3.3,7.6,,,,,
10,27.9,34,24,1009.5,82,7.87,4.5,4.6,9.4,,,,,
11,26.2,34.2,20.2,1007.8,93,58.93,3.7,5,18.3,,,,,
12,27.5,31.6,20.9,1007.9,86,0,4.3,1.3,1.9,,,,,
13,24.6,31,21,1008.4,90,36.07,3.2,6.7,22.2,,,,,
14,29.1,33,24,1008.1,81,0,4.3,2.6,7.6,,,,,
15,28.4,32,23.5,1006.8,85,5.08,4,1.9,3.5,,,,,
16,26.5,30,25,1006.2,85,12.19,3.9,2.8,5.4,,,,,
17,28.1,31.6,22,1005.4,86,38.1,4,1.9,1.9,,,,,
18,26.6,32,21.7,1004.9,94,22.1,3.7,2.8,5.4,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,28.4,32,26.5,1005.9,89,2.03,4.2,1.9,1.9,,,,,
24,28.9,31.6,27,1005.4,87,3.05,3.9,1.9,1.9,,,,,
25,29.5,32,26.2,1005.2,87,1.02,4,2.4,3.5,,,,,
26,30.1,33.6,26.7,1005.2,86,0,4.2,3.1,5.4,,,,,
27,30,34,27,1004.5,84,0,4.7,1.9,5.4,,,,,
28,30.4,34.7,26.5,1002.2,81,0,4.7,2,3.5,,,,,
29,29.2,33,26.4,1001.1,81,1.02,4.5,4.1,18.3,,,,,
30,31.6,35.6,29,1003.1,78,2.03,4.8,2.6,3.5,,,,,
31,27.3,31.6,24.5,1006.1,90,56.9,3.7,3.1,7.6,,,,,
