Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.1,33.2,19.5,1009.4,61,0,4.2,1.9,3.5,,,,,
2,,,,,,,,,,,,,,
3,22.3,31,17.4,1011.8,63,0,4.8,1.3,3.5,,,,,
4,24.8,32.5,16.5,1011.4,64,0,4.2,2.8,3.5,,,,,
5,24.9,32.2,19.6,1011.1,67,0,4.5,3.1,5.4,,,,,
6,,,,,,,,,,,,,,
7,26,34.5,21.8,1011.6,70,0,4.8,6.9,16.5,,,,,
8,27.1,35.2,21,1012.9,61,0,4.5,0.9,3.5,,,,,
9,27.2,34.6,22.5,1012.9,55,0,5,1.3,3.5,,,,,
10,26.7,33.5,20,1011.8,55,0,4.5,4.1,7.6,,,,,
11,20.6,24.2,18,1010.6,82,2.29,4,6.3,18.3,,,,,
12,22.8,30.5,17.5,1008.8,63,0,5.5,3.5,5.4,,,,,
13,23.3,30,18,1010.5,71,0,4.5,0.9,3.5,,,,,
14,25.1,32.4,19,1011.1,64,0,4,2.8,5.4,,,,,
15,,,,,,,,,,,,,,
16,24,29.8,19,1009.7,76,0,4.2,1.9,7.6,,,,,
17,24.3,32,18.5,1009.6,58,0,4.8,2.4,7.6,,,,,
18,23.2,32,16.6,1010.9,46,0,5.3,2.8,3.5,,,,,
19,22.3,32,13.8,1010.9,46,0,,1.9,3.5,,,,,
20,23.4,33.4,15.5,1009.2,49,0,5,3.1,5.4,,,,,
21,25.6,35.4,17.4,1005.9,46,0,5.5,4.1,7.6,,,,,
22,27.5,34.6,21,1004.2,44,0,5.8,4.1,7.6,,,,,
23,24.6,34.5,17.5,1005.7,45,0,5.5,4.6,7.6,,,,,
24,25.3,35.2,16.2,1006.1,44,0,5.8,2.8,7.6,,,,,
25,29.1,38.2,19.8,1005.7,41,0,5.5,5.6,9.4,,,,,
26,29.3,40,21,1004.9,48,0,6,5,11.1,,,,,
27,27.9,37.2,22.8,1005.6,61,80.01,5.8,1.9,3.5,,,,,
28,26.2,34,19.2,1008.8,,0,5.5,4.6,7.6,,,,,
29,26.8,35.8,19.5,1009.3,39,0,6,5.6,7.6,,,,,
30,27.8,36.2,21.6,1009.2,52,0,5.8,2.2,3.5,,,,,
31,,,,,,,,,,,,,,
