Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.2,28.9,22.8,1009.1,88,3.05,15.6,3.3,9.4,,,,,
2,27.8,30,22.2,1007.6,,0,20,9.3,16.5,,,,,
3,28.2,32.2,23.9,1008.4,73,0,20,5,16.5,,,,,
4,26.2,32.8,22.8,1007.5,85,1.02,20,3.1,9.4,,,,,
5,,,,,,,,,,,,,,
6,26.7,30,23.9,1007.8,84,2.03,18,4.4,9.4,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,27.3,31.1,23.9,1005.5,79,2.03,20,7.4,16.5,,,,,
10,27.9,31.1,23.9,1006.6,76,0,20,10.7,24.1,,,,,
11,27.4,30,23.9,1006.9,81,0,20,11.5,24.1,,,,,
12,27.7,32.2,26.1,1006.5,,1.02,17.5,8.3,16.5,,,,,
13,28.6,31.1,26.1,1006.6,74,0.51,20,11.3,16.5,,,,,
14,,,,,,,,,,,,,,
15,26.8,27.8,25,1007.3,79,7.87,15,6.5,9.4,,,,,
16,27.3,27.8,25,1006.8,80,6.1,17.5,8,9.4,,,,,
17,26.4,27.8,23.9,1007.6,87,12.95,12.1,5.2,9.4,,,,,
18,27,31.1,22.8,1006.6,83,0.51,18,10.4,24.1,,,,,
19,28.1,30,27.2,1007.2,80,1.02,18.3,11.7,16.5,,,,,
20,28.2,31.1,27.2,1007.5,78,0.51,17.5,5,9.4,,,,,
21,29.2,31.1,25,1007.9,73,0,20,16.3,27.8,,,,,
22,29.4,31.1,26.1,1007.7,76,0,27.5,12.6,16.5,,,,,
23,29,31.1,23.9,1008.2,72,0,20,10.6,16.5,,,,,
24,,,,,,,,,,,,,,
25,27.8,31.1,23.9,1009.1,79,0,20,15.2,35.2,,,,,
26,28.3,32.8,23.9,1008.7,74,0,20,2.2,3.5,,,,,
27,28.6,31.1,22.8,1007.7,74,0,20,13.3,31.3,,,,,
28,27.1,30,23.9,1008.3,80,0,20,7,24.1,,,,,
29,,,,,,,,,,,,,,
30,26,27.8,23.9,1009.2,85,0,20,7.2,16.5,,,,,
31,28.2,32.2,22.8,1009.1,77,0,20,4.6,9.4,,,,,
