Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,-1.8,6.1,-10,,39,0,46.2,9.6,31.3,,,,,
3,-0.4,7.8,-8.9,,25,0,38.8,8.3,22.2,,,,,
4,-3.9,2.8,-11.1,,44,0,47.5,5.6,18.3,,,,,
5,,,,,,,,,,,,,,
6,-2.5,7.2,-16.1,,48,0,46.2,0.9,3.5,,,,,
7,-2.1,7.8,-12.8,,44,0,47.5,3.7,7.6,,,,,
8,1.5,10,-7.8,,31,0,42.5,5.6,14.8,,,,,
9,0.6,7.8,-7.8,,48,0,42.5,9.3,29.4,,,,,
10,,,,,,,,,,,,,,
11,1.2,7.2,-8.9,,33,0,41.2,10.2,25.9,,,,,
12,-3.1,2.8,-8.9,,66,,32.5,6.5,14.8,,,,,
13,-6.1,-5,-7.8,,89,1.02,11.3,4.6,11.1,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,-12.9,-6.1,-22.8,,67,0,47.5,0.9,3.5,,,,,
19,-10.6,-2.2,-20,,41,0,45.1,11.1,29.4,,,,,
20,-8.8,-2.8,-22.2,,60,0,43.8,2.8,7.6,,,,,
21,-8.2,-1.1,-15,,80,0.25,36.2,0,,,,,,
22,-5.7,3.9,-16.1,,48,0,45.1,6.5,22.2,,,,,
23,-4.4,5,-15,,55,0,47.5,2.8,7.6,,,,,
24,-5,1.1,-11.1,,61,0,42.5,2.8,11.1,,,,,
25,,,,,,,,,,,,,,
26,-9.2,1.1,-17.8,,46,0,50.1,2.8,7.6,,,,,
27,-8.1,3.9,-18.9,,46,0,50.1,1.9,3.5,,,,,
28,,,,,,,,,,,,,,
29,-5.4,2.2,-17.2,,48,0,47.5,3.7,11.1,,,,,
30,-6.5,1.1,-17.2,,33,0,50.1,13,29.4,,,,,
31,-9,0,-18.9,,55,0,50.1,1.9,7.6,,,,,
