Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.8,24.3,8.8,1002.8,40,0,29.9,13.9,25.2,,,,,
2,17.6,24.7,8.5,1006.6,57,0,29.9,7.2,18,,,,,
3,21.3,28.2,12.2,1004.6,46,0,29.9,6.7,14.4,,,,,
4,24.3,31.4,14.7,1004.3,36,0,29.9,6.3,14.4,,,,,
5,26.4,34.3,15.9,1005.1,30,0,29.9,12.6,32.4,,,,,
6,19.3,25.8,13.7,1011.6,30,0,29.9,13.5,25.2,,,,,
7,18.7,23,12.8,1010,39,0,29.9,7.2,10.7,,,,,
8,14.9,17.4,13.6,1009.7,84,5.08,28.2,11.7,25.2,,,,,
9,16.8,20.7,13.3,1008.3,85,5.08,29.5,5.7,10.7,,,,,
10,17.3,23.2,13.8,1010.1,79,13.97,29.9,9.4,10.7,,,,,
11,18.7,25.3,13.8,1013.9,74,0,29.9,7.6,14.4,64.8,,,,
12,17.6,25.1,12.5,1015.1,79,6.1,28.8,9.1,18,,,,,
13,17,24.2,14.9,1013.8,81,30.99,29.3,12.4,21.7,,,,,
14,19.9,25.2,14.6,1010.1,70,0,29.9,5.4,7.2,,,,,
15,21.7,26.5,14.2,1004.8,59,0,29.9,6.7,14.4,,,,,
16,17.4,22.9,14.5,1002.3,79,8.89,29.9,2.8,7.2,,,,,
17,20.5,25.8,14,999.1,57,80.01,29.9,8.1,18,,,,,
18,19,23.8,11.5,1000.7,45,0,29.9,6.7,18,,,,,
19,20.5,26.6,13.1,998.4,52,0,29.9,11.3,18,,,,,
20,16.2,23.2,12.1,1001.2,80,8.89,27.8,13.3,21.7,68.3,,,,
21,15.6,21.4,9.2,1006.9,69,0,29.9,5,14.4,,,,,
22,19.7,24.8,8.9,1006.4,51,0,29.9,7.2,18,,,,,
23,21.8,30.2,14.2,999.4,63,0,29.9,8.5,25.2,68.3,,,,
24,22.7,29,14.9,999.6,50,0,29.9,9.4,28.7,,,,,
25,18.1,23.7,13.6,1001.1,78,3.05,28.6,5.4,10.7,,,,,
26,19.4,26.7,12,1004.2,56,0,29.9,11.3,25.2,,,,,
27,22.4,28.7,11.5,1006.1,45,0,29.9,5.9,14.4,,,,,
28,18.8,24.4,15.3,1005.7,66,1.02,29.5,11.3,21.7,,,,,
29,18.1,25.2,14.5,1004.6,75,1.02,29.9,6.7,14.4,,,,,
30,21.3,27.6,14,1001.6,61,6.1,29.9,5.4,21.7,,,,,
31,23.3,30.5,14.2,1002,52,0.51,29.9,9.8,25.2,,,,,
