Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.4,20.5,10.1,,61,2.03,29.9,13.3,18,,,,,
2,16.1,22.4,8.4,,53,12.95,27.2,12.4,21.7,,,,,
3,11.9,14.5,11.4,,85,0,24.1,11.5,14.4,,,,,
4,17.2,25.2,10,,45,22.1,29.9,13.3,18,,,,,
5,19.8,29.5,12.7,,38,0,28.6,10.2,18,,,,,
6,17.6,24.1,12.6,,47,0,29.9,10.7,18,,,,,
7,19.2,26.2,13.5,,32,0,29.9,13.1,21.7,,,,,
8,17.4,25,11,,34,0,28.3,9.8,18,,,,,
9,15.7,20,10,,56,1.02,29.9,6.7,10.7,,,,,
10,14.8,19.6,11.6,,61,1.02,28.6,20,46.9,72,,,,
11,17.2,25.3,11,,50,0,29.9,12.4,18,,,,,
12,18.7,25.7,12.4,,32,0,29.9,15.9,28.7,,,,,
13,19.8,26.7,13.4,,31,0,29.9,12.4,21.7,,,,,
14,15.5,19.7,11.2,,56,1.02,29.9,12.4,21.7,,,,,
15,18.2,27.2,10.8,,54,0,29.9,11.5,14.4,,,,,
16,20.4,28.5,13,,31,0,29.9,13.9,21.7,,,,,
17,20,27.7,12.2,,38,0,29.9,9.8,21.7,,,,,
18,18.6,25.6,11,,45,0,29.9,15.9,35.9,,,,,
19,19.8,26.5,11.2,,37,0,29.9,12.6,32.4,,,,,
20,17.2,29.5,11.2,,60,0,29.9,11.9,21.7,,,,,
21,17.8,26.2,11,,42,1.02,29.9,9.1,14.4,,,,,
22,18.5,25.3,11.8,,48,4.06,29.9,8.7,21.7,,,,,
23,20.9,28,12,,44,0,27.4,6.1,14.4,,,,,
24,20.8,28.7,13.7,,38,0.25,29.9,13.3,28.7,,,,,
25,20.1,27.7,11,,30,0,29.9,7.2,14.4,,,,,
26,18.4,26.1,11.2,,47,0.25,28.6,8.7,14.4,,,,,
27,17.1,26,10,,54,0,29,15.7,25.2,,,,,
28,20.4,27.2,15.6,,52,1.02,24.3,12.4,28.7,,,,,
29,22.6,27.4,15.7,,43,4.06,24.3,9.3,18,,,,,
30,22.3,30.8,16.6,,39,0,29.9,10.7,21.7,,,,,
31,21.8,28.5,14.3,,45,0,29.9,12.4,18,,,,,
