Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.9,31.7,15.2,995.6,18,0,13.7,10.2,21.7,,,,,
2,20.3,25.5,15.2,1006.6,21,0,6.4,10.2,14.4,68.3,,,,
3,18.4,22.7,15,1009,29,0,7.4,9.8,14.4,,,,,
4,20.1,26,14.9,1003.6,28,0,13.4,6.1,7.2,,,,,
5,22.8,27.3,13.3,1001.1,24,0,15,8,14.4,,,,,
6,16.4,23.4,7.9,1008.9,39,0,19,8.7,14.4,,,,,
7,17.4,26.6,4.8,1014.2,40,0,20,4.6,7.2,,,,,
8,18.2,29.9,9.8,1013.4,37,0,20,4.3,7.2,,,,,
9,21.2,31.5,10.8,1010.2,30,0,20,4.6,7.2,,,,,
10,21.8,31.5,10.2,1007.7,32,0,20,5.7,10.7,,,,,
11,23.3,32.9,13.3,1007.4,30,0,20,3.5,10.7,,,,,
12,25.4,33.8,14.9,1006.4,22,0,20,6.1,7.2,,,,,
13,24.3,34.5,13.6,1004.1,29,0,20,3,3.5,,,,,
14,24.4,35.5,13.1,1003.6,32,0,20,3.5,10.7,,,,,
15,26.6,36.9,13.6,1003.1,28,0,20,7.2,10.7,,,,,
16,29.6,37.2,16.1,1002.7,21,0,19.2,9.1,18,,,,,
17,27.7,33.6,20.9,1004.5,22,0,19.3,9.8,14.4,,,,,
18,25.8,33.4,17.6,1004.7,30,0,20,5.7,10.7,,,,,
19,26.1,34.2,16.1,1004.4,29,0,16.1,9.3,25.2,,,,,
20,25.1,31.8,18.8,1006.1,31,0,20,8.7,14.4,,,,,
21,22.4,28.7,16,1005.9,40,0,19.8,7.8,14.4,,,,,
22,20.6,26.6,15.4,1003.2,49,0,20,9.8,14.4,,,,,
23,22.9,29.8,14.8,1001,46,0,20,5.7,10.7,,,,,
24,23.8,31.2,13.9,999.2,41,0,20,7.8,14.4,,,,,
25,24.5,31,12.1,1001.2,30,0,20,10.2,18,,,,,
26,22.3,25.7,18.9,1006.6,40,0,17.2,12.4,21.7,,,,,
27,24.2,31.5,18,1004.9,40,0,20,4.6,7.2,,,,,
28,23.7,28.5,18.7,1004.6,40,0,19.8,11.9,25.2,,,,,
29,23.3,31.3,14.7,1007.5,40,0,20,8.1,18,,,,,
30,23.2,32.3,13.9,1006.4,43,0,20,6.1,10.7,,,,,
31,24.8,34.1,14.3,1005.4,42,0,20,6.1,10.7,,,,,
