Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.3,28.5,12,1006.8,57,0,29.9,5,7.2,,,,,
2,21.6,27.7,15.9,1005.5,64,0,29.9,4.1,7.2,,,,,
3,22.4,29.7,15.5,1003.9,54,0,29.9,6.7,10.7,,,,,
4,19.2,23.4,15.9,1005.8,72,0,29.9,5.9,10.7,,,,,
5,21.1,26.5,14.6,1005.7,59,0,29.9,6.7,18,,,,,
6,20.9,27.9,12.8,1006.8,50,0,29.9,7.2,14.4,,,,,
7,20.3,28.1,11.4,1007.4,40,0,29.9,7.2,14.4,,,,,
8,21.6,28.8,12.5,1006.4,39,0,29.9,6.3,10.7,,,,,
9,24.4,31.2,14,1004.8,33,0,29.9,5.9,10.7,,,,,
10,26.8,32.8,19.9,1001.7,32,0,29.9,5.9,10.7,,,,,
11,27.4,34.5,19.4,996.9,36,0,29.9,10.4,25.2,,,,,
12,15.2,27.2,9.4,1009.9,65,7.87,29.5,16.1,28.7,,,,,
13,16.4,22.8,9.2,1011.6,61,4.32,29.9,5.4,7.2,,,,,
14,19.9,26.9,12.2,1006,49,0,29.9,6.3,10.7,,,,,
15,20.4,27.8,11.8,1006,44,0,29.9,7.2,10.7,,,,,
16,18.2,25.1,11.4,1009.8,58,3.3,29.9,8.5,10.7,,,,,
17,16.8,22.5,10.6,1011,56,4.57,29.9,7.2,10.7,,,,,
18,14.1,20.4,8.8,1013.8,66,0,29.9,6.7,10.7,,,,,
19,16.7,22.7,6.9,1013.5,47,0,29.9,6.7,10.7,,,,,
20,20.4,27.4,12.4,1010.2,47,0,29.9,5.9,10.7,,,,,
21,16.9,21.2,11.9,1013.7,64,3.56,29.9,7.6,14.4,,,,,
22,15.1,21.4,11.1,1016.5,71,5.33,29.9,8.1,18,,,,,
23,17.4,24.4,11,1015.5,59,1.52,29.9,4.1,7.2,,,,,
24,19.6,25.7,10.2,1014.2,54,0,29.9,6.7,10.7,,,,,
25,22,28.1,13.9,1012.2,43,0,29.9,6.7,10.7,,,,,
26,21.5,28.5,14.6,1012,45,0,29.9,5.4,7.2,,,,,
27,21.4,28,14.2,1011.5,45,0,29.9,7.6,18,,,,,
28,,,,,,,,,,,,,,
29,22.7,28.8,13.1,1011.1,44,0,29.9,7.8,14.4,,,,,
30,24.8,30.9,13.8,1009.4,36,0,29.9,6.3,10.7,,,,,
31,25.2,32.8,14.9,1008.1,30,0,29.9,6.3,7.2,,,,,
