Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,4.7,12.2,-1.1,1029.1,74,0,11.7,1.3,3.5,,,,,
2,5.3,12.2,-1.1,1028.3,73,0,10.8,0.9,3.5,,,,,
3,5.4,8.9,1.1,1032.6,79,0,12.7,0.4,3.5,,,,,
4,6.4,13.9,-1.1,1031.7,57,0,18.5,2,11.1,,,,,
5,6.6,17.2,-3.9,1023.6,53,0,22.7,1.1,3.5,,,,,
6,7.5,17.8,-2.8,1017.7,,5.08,19.3,0.4,3.5,,,,,
7,7.8,17.8,1.1,1017.2,64,0,17.2,0.9,3.5,,,,,
8,9.7,20,-1.1,1017.8,63,0,13.2,2.2,3.5,,,,,
9,6.9,16.1,2.8,1027.9,71,0.51,12.2,0.9,7.6,,,,,
10,7.1,13.9,2.8,1026.5,69,0,12.7,1.1,3.5,,,,,
11,8.6,17.2,2.8,1028.9,63,0,12.2,3.7,25.9,,,,,
12,5.5,8.9,1.1,1029.3,51,0,16.1,8.3,22.2,,,,,
13,9.6,16.1,-1.1,1023.9,61,0,14,0.9,7.6,,,,,
14,7.5,12.8,5,1029,72,3.56,15.6,5.6,18.3,,,,,
15,6.9,10,3.9,1030.8,73,,23.3,7,14.8,,,,,
16,6.6,12.8,2.8,1026.8,77,1.27,22.2,1.9,7.6,,,,,
17,6.4,10,2.8,1032.9,85,0,18,0,,,,,,
18,6.8,15,0,1032.4,,0,24,1.5,7.6,,,,,
19,7.3,16.1,-1.1,1024.4,64,0,25.4,0.9,3.5,,,,,
20,6.9,17.8,0,1026.1,51,0,27.2,0.9,3.5,,,,,
21,7.6,17.2,-1.1,1025.9,44,0,26.9,1.9,11.1,,,,,
22,7.8,17.8,-2.8,1022.4,57,0,20.9,1.1,3.5,,,,,
23,10.8,22.2,2.2,1017.5,59,0,13.7,1.5,7.6,,,,,
24,12.1,20,2.2,1013.4,60,0,12.4,1.1,3.5,,,,,
25,13.4,22.2,3.9,1018,33,0,5,15.2,25.9,,,,,
26,2.6,11.1,0,1028.5,87,20.07,8.7,0.9,3.5,,,,,
27,3.7,7.2,1.1,1024.3,90,0.51,18,1.3,3.5,,,,,
28,4.6,5,1.1,1020.7,91,1.78,15.8,1.9,7.6,,,,,
29,7.3,12.2,2.8,1020.8,83,0,17.2,2.4,7.6,,,,,
