Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.8,27.9,21.2,1001.4,80,6.1,16.6,5.2,7.2,,,,,
2,27.4,30.9,22.7,1002.4,76,0,8,7.2,14.4,,,,,
3,26.4,30.2,22.5,1005.1,75,0.25,5,13.5,18,,,,,
4,22.8,24.5,21.1,1008.4,83,1.02,5.8,9.8,14.4,,,,,
5,21.3,23.7,18.4,1008.4,82,2.79,12.9,13.9,21.7,,,,,
6,18.1,19.3,17.6,1009.4,92,14.73,5,18,21.7,,,,,
7,21.2,23.3,17.1,1008.8,78,12.19,12.1,10.7,18,,,,,
8,21.6,23.9,19.9,1009.6,84,15.75,9.7,17,21.7,,,,,
9,22.4,22.9,20,1009.6,94,5.08,2.9,17,21.7,,,,,
10,25.9,28.6,22.1,1006.6,87,1.78,8.4,18.9,25.2,,,,,
11,26.6,29.5,25.2,1001,77,2.54,22,22,28.7,,,,,
12,27.9,31,22.8,1001.3,75,0,18.3,8.5,14.4,,,,,
13,29.4,33.7,25.4,1002,75,0,11.6,7.6,14.4,,,,,
14,29.9,34.1,25.1,1001.6,77,0,7.7,5.9,7.2,,,,,
15,29.1,33.3,25.4,1000.3,82,1.27,5.6,5.4,10.7,,,,,
16,25.1,26.7,23.8,1000.8,93,55.37,6.8,6.3,10.7,,,,,
17,24.4,26.5,23.2,1003.4,89,0,14.8,5.4,10.7,,,,,
18,25.4,27.8,23,1005.1,86,0,12.7,5.4,10.7,,,,,
19,26.3,28.7,24,1006.1,84,0,6.8,11.3,18,,,,,
20,25.9,27.4,24.5,1005.8,89,0,3.1,13.9,18,,,,,
21,27.2,29.7,25.2,1004.7,88,0,3.4,5.4,10.7,,,,,
22,27.2,32.7,24.9,1004,88,6.1,4.3,5.4,7.2,,,,,
23,25.1,29.1,23.7,1003.3,95,218.69,5.1,7.2,10.7,,,,,
24,26.2,28.2,23.6,1003.6,89,34.8,11.6,7.6,14.4,,,,,
25,26.1,27.6,23.7,1004.3,93,16.76,13.8,4.4,10.7,,,,,
26,27.8,31,25.2,1006.7,86,9.65,16.9,7.6,18,,,,,
27,29.4,32.3,25.8,1008.3,76,6.86,23.8,12.2,18,,,,,
28,30.7,32.9,26.7,1008.1,67,0,24.6,15.7,21.7,,,,,
29,30.1,33.5,25.8,1007.5,68,0,22.7,14.8,25.2,,,,,
30,29.1,31.7,25.5,1007.8,73,0,23.3,13.9,28.7,,,,,
31,29.9,32.8,26,1007.9,71,0,22.4,14.4,21.7,,,,,
