Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-1.5,6.2,-10.3,,33,0,29.9,10.7,21.7,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,-1.8,7.9,-11.7,,37,0,29.9,4.4,10.7,,,,,
5,,,,,,,,,,,,,,
6,-6,1.3,-12.3,,54,0,29.9,6.3,18,,,,,
7,,,,,,,,,,,,,,
8,-10.7,-1.8,-20.2,,32,0,29.9,16.1,21.7,,,,,
9,-7.1,1.1,-17.5,,37,0,29.9,3.5,7.2,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,-3.7,5.9,-13.7,,31,0,29.9,9.8,28.7,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,-5.2,2.9,-12.9,,52,0,29.9,1.9,7.2,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,0.3,9.1,-9.4,,30,0,29.9,13.5,21.7,,,,,
23,-7.7,-3.2,-13.8,,54,0,29.9,8.1,18,,,,,
24,,,,,,,,,,,,,,
25,-9.3,-1.9,-16.8,,,0,29.9,5.4,10.7,,,,,
26,-9.7,-1.6,-16.7,,48,0,29.9,4.4,14.4,,,,,
27,,,,,,,,,,,,,,
28,-7.9,5.5,-18.8,,32,0,29.9,1.9,7.2,,,,,
29,-8.4,-1.3,-18.2,,43,0,29.9,3.5,7.2,,,,,
30,-5.8,1.4,-13.1,,48,0,29.9,4.4,7.2,,,,,
