Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.9,26,8.5,1013.1,54,0,18.5,1.3,7.2,,,,,
2,17.2,28.6,7.1,1012.2,47,0,22,2.2,7.2,,,,,
3,17.3,27.9,7.7,1012.5,46,0,28.8,2.8,7.2,,,,,
4,18.8,27.8,10.2,1011.3,36,0,24.9,6.3,10.7,,,,,
5,18.6,26.7,9.6,1006.7,31,0,26.2,7.6,10.7,,,,,
6,18.1,25.2,14.2,1005.8,33,0,18.7,9.1,18,,,,,
7,17.4,22.5,12.1,1013.8,32,0,13.2,11.3,18,,,,,
8,16.1,20.6,12.6,1017.2,38,0,10.1,12.6,21.7,,,,,
9,14.3,20.1,9.5,1018.7,49,0,12.1,1.3,7.2,,,,,
10,12.8,19.1,7.2,1019.9,52,0,15.8,5,14.4,,,,,
11,11.4,18.9,5.6,1022.9,54,0,11.7,6.3,18,,,,,
12,12.5,19.5,6.5,1026.5,51,0,13.8,2.2,7.2,,,,,
13,12,21.5,3.8,1024.4,49,0,15,3.1,7.2,,,,,
14,12.7,21.4,4.5,1023.5,45,0,17.4,2,7.2,,,,,
15,11.6,22.2,3.3,1023.7,51,0,19.3,2.8,7.2,,,,,
16,12.1,21.9,2.9,1026.1,49,0,20,1.9,7.2,,,,,
17,12.4,19.7,7.4,1028.9,50,0,15,1.3,10.7,,,,,
18,13.6,19.6,5.4,1028.6,43,0,17.1,4.1,10.7,,,,,
19,12.1,20.1,6.9,1024.6,43,0,20,3.5,7.2,,,,,
20,10.8,19.6,3.8,1024.7,44,0,23.2,5,10.7,,,,,
21,9.6,20.6,0.8,1024.2,48,0,24.9,1.3,7.2,,,,,
22,9.5,19.6,1.5,1022.4,46,0,27.8,2.2,7.2,,,,,
23,9.3,17.9,1,1022.7,46,0,28.6,1.5,7.2,,,,,
24,8.7,18.3,1.5,1020.5,52,0,28.8,3.1,10.7,,,,,
25,10.3,18.4,-0.7,1017.6,27,0,22.7,6.3,14.4,72,,,,
26,7.5,14.6,-1.9,1027.3,27,0,13.2,9.8,18,,,,,
27,5.8,12.3,-1.2,1034.1,49,0,11.4,4.1,7.2,,,,,
28,4.1,12.9,-2.3,1037.7,50,0,12.4,2.8,7.2,,,,,
29,3.9,13.2,-2.7,1037.8,50,0,12.1,1.9,7.2,,,,,
30,4.5,13.6,-3.5,1034.2,45,0,13.8,2.2,7.2,,,,,
31,4.7,13.8,-3.2,1030.3,44,0,12.7,1.9,7.2,,,,,
