Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.7,24.1,6.2,1012.9,64,13.21,21.1,3.5,6.9,46.9,,,,
2,11.8,23.3,6.6,1013.5,75,11.18,26.7,3.5,8,40.9,,,,
3,15.1,22.6,5.5,1011.6,50,0,29.9,5.6,9.6,33.2,,,,
4,13.7,22.6,5.5,1015.1,60,0,29.9,4.4,7.6,33.2,,,,
5,15.1,23.7,5.7,1020.9,52,0,29.9,4.3,7.6,21.9,,,,
6,16.4,26.2,5.7,1016.3,47,0,28.2,4.4,8.7,27.8,,,,
7,17.4,27.5,6.9,1013.5,40,0,29.9,6.1,12.6,28.7,,,,
8,17.6,28.1,7.2,1012,35,0,29.9,4.8,11.5,25.6,,,,
9,18.6,28.1,7.9,1009.3,35,0,29.9,4.6,10.7,47.8,,,,
10,17.2,27,8.2,1006.8,46,0,29.1,5.9,15.2,47.8,,,,
11,14.3,25.7,8.4,1010.8,51,1.02,29.9,4.6,6.9,28.2,,,,
12,15.2,23.5,7.3,1010.5,46,2.29,28.8,6.3,9.4,26.7,,,,
13,13.4,23.5,5.9,1013.7,50,0.25,29.9,4.3,9.6,26.7,,,,
14,14,22.2,4.7,1017.3,45,0,29.9,6.3,11.9,35.6,,,,
15,13.7,22.4,4.9,1016.7,51,0,29.9,4.6,9.6,33.9,,,,
16,15.3,23.9,6,1012.5,42,0,29.9,8,22.2,35.6,,,,
17,14,23.9,6,1012,42,0,29.9,6.3,14.1,35.6,,,,
18,14.4,24.9,4.9,1013.9,37,0,29.9,5,13,41.7,,,,
19,16.3,26,4.9,1012,35,0,29.9,5.6,11.1,37,,,,
20,17.7,26.7,6.6,1008.9,29,0,28.3,4.6,10,53.5,,,,
21,16.4,26.7,7.9,1006.9,33,0,29.9,7.2,13.3,34.3,,,,
22,12.6,23.6,6.4,1010.3,42,0,27.4,5.4,10,31.7,,,,
23,10.6,20.3,4.7,1014.5,51,0,29.9,6.3,13.7,56.9,,,,
24,11.2,19.9,4.5,1014.4,41,0,29.3,10.2,14.8,55.4,,,,
25,9.8,19.4,-0.1,1019.8,28,0,29.9,4.4,8,43.5,,,,
26,10.5,20.6,-0.1,1015.9,32,0,25.3,6.5,14.4,36.3,,,,
27,12.9,25.1,0.7,1012.5,30,0,24.9,5.7,13,36.3,,,,
28,13.8,25.1,1.5,1012.2,37,0,12.4,4.8,10.7,27.8,,,,
29,13.1,23.7,4.3,1011.6,36,0,18.3,4.8,13,25.6,,,,
30,13.2,23.7,4.3,1013.1,34,0,25.6,6.3,13.7,32.8,,,,
