Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.5,27.7,20.8,1008.6,88,1.02,6.1,3.5,10.7,,,,,
2,24.4,27.7,20.5,1007.4,85,0,8.4,3.5,10.7,,,,,
3,25,27,21.4,1008.9,84,0,7.4,2.4,7.2,,,,,
4,23.7,29.5,19.1,1010,78,25.91,10.8,5.9,10.7,79.1,,,,
5,24.2,29.7,18.6,1008.6,72,0,9.3,5.2,10.7,,,,,
6,24.1,28.5,18.9,1009.2,68,0,11.6,6.7,14.4,,,,,
7,24.3,29.6,20.4,1007,82,0,9.8,5.2,10.7,,,,,
8,24.4,29.8,19.7,1012.4,61,0,16.4,5.7,10.7,,,,,
9,24.9,29.3,20,1012.1,76,0,6.8,2.6,7.2,,,,,
10,22.6,26.5,19,1014.3,77,5.08,9.8,5.7,18,,,,,
11,21.6,26,17.6,1017.4,62,0,19,8.7,25.2,,,,,
12,19.3,25.4,15.4,1017.3,84,17.02,11.4,2.6,7.2,,,,,
13,17.7,20.6,15.1,1017.3,88,2.03,7.6,4.6,14.4,,,,,
14,19.6,23.1,15.2,1018.8,78,0.25,9.3,7.8,14.4,,,,,
15,15.4,17.8,15,1020.8,96,32,4.8,11.5,18,,,,,
16,17.5,20.4,14.6,1019.8,88,13.97,8,3.1,10.7,,,,,
17,19.2,23.6,14.8,1011.3,83,6.1,8.4,1.5,3.5,,,,,
18,19.4,25.6,12.9,1005.1,45,0.51,20.8,11.3,21.7,72,,,,
19,18.9,24.9,12.4,1005.2,48,0,24.9,9.3,18,,,,,
20,19.3,25.4,11.9,1016,59,0,20.8,3.1,7.2,,,,,
21,19.7,26.1,12.8,1020.2,62,0,10.5,1.5,3.5,,,,,
22,20.2,26.4,13.4,1018,65,0,11.3,3.5,10.7,,,,,
23,21.3,27.9,14.3,1014.7,67,0,7.6,4.6,10.7,,,,,
24,20.9,27.7,16,1015.5,71,0,7.9,4.6,10.7,,,,,
25,21.3,27.3,16,1013.5,76,0,6.4,2,7.2,,,,,
26,20.3,25.1,16.5,1012.3,80,0,5.5,1.5,7.2,,,,,
27,19.8,25.7,14.3,1014.9,47,0,15.8,8.1,18,,,,,
28,18.8,25.7,13.8,1016,65,0,9.5,5.2,7.2,,,,,
29,18.6,24.3,13.8,1013,86,0,2.7,5.2,10.7,,,,,
30,20.7,28.1,14.9,1012.7,66,0,9.3,7.8,18,,,,,
