Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17.9,27.8,10,,65,2.03,33.6,8,14.8,,,,,
2,15.8,22.2,12.2,,80,3.05,32.5,1.3,7.6,,,,,
3,16.4,23.9,12.8,,81,7.11,26.2,3.7,11.1,,,,,
4,16.9,25,12.2,,79,5.08,24.9,3.7,14.8,,,,,
5,18.1,28.9,12.8,,72,7.11,34.3,1.7,7.6,,,,,
6,16.9,22.2,12.8,,80,6.1,32.2,6.3,25.9,,,,,
7,16.9,22.8,12.8,,80,4.06,32.8,3.1,11.1,,,,,
8,17.6,27.8,7.8,,57,2.03,38.9,2,7.6,,,,,
9,18.5,30,7.2,,61,0,37.8,5.4,14.8,,,,,
10,17.2,23.9,11.1,,78,18.03,31.4,1.1,7.6,,,,,
11,18.7,23.9,12.8,,78,2.03,38,1.9,3.5,,,,,
12,17.4,22.2,12.8,,79,0,32.2,6.3,11.1,,,,,
13,16.8,22.2,12.8,,83,3.05,32.8,5.4,14.8,,,,,
14,20.2,30,12.2,,65,1.02,43.6,3.7,14.8,,,,,
15,20.7,32.2,12.2,,59,0,45.1,4.3,14.8,,,,,
16,18.6,22.8,12.8,,73,2.03,36.2,3.7,11.1,,,,,
17,18.1,25,12.2,,73,0,38.3,5.6,11.1,,,,,
18,20.9,30,12.2,,61,1.02,31.1,9.6,18.3,,,,,
19,19.3,27.8,12.2,,66,9.91,42.8,3.7,11.1,,,,,
20,18.9,28.9,10,,69,0,34.6,6.9,14.8,,,,,
21,19.8,27.8,13.9,,69,3.05,33.8,5.4,14.8,,,,,
22,17.1,23.9,10,,74,6.1,26.4,9.8,25.9,,,,,
23,18.1,27.8,8.9,,68,4.06,42.8,7.4,18.3,,,,,
24,18.3,27.2,12.2,,65,0,39.3,9.1,14.8,,,,,
25,18.6,26.1,12.2,,68,1.78,40.1,7.4,14.8,,,,,
26,15.2,22.8,12.2,,85,17.27,26.2,4.3,11.1,,,,,
27,16.9,22.8,11.1,,74,8.13,24.6,5.4,14.8,,,,,
28,15.2,20,12.2,,84,17.02,18,5.9,11.1,,,,,
29,14.4,17.2,12.2,,89,0,19.5,3.7,14.8,,,,,
30,16.1,22.2,11.1,,76,4.06,34.9,5.4,11.1,,,,,
31,13.3,17.8,8.9,,79,0,37.8,4.8,18.3,,,,,
