Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-20.6,-15,-23,,70,0,74.4,6.3,10.7,,,,,
2,-21.6,-18,-26,,58,0,75,6.1,14.4,,,,,
3,-21.2,-15,-28,,48,0,75,5.7,14.4,,,,,
4,-17.3,-14,-25,,45,0,72.6,4.8,10.7,,,,,
5,-13.7,-12,-20,,66,0,75,2,10.7,,,,,
6,-16.3,-11,-19,,84,1.52,56.3,7.2,25.2,,,,,
7,-20.3,-18,-25,,85,0,55.5,2.6,10.7,,,,,
8,-20.2,-17,-28,,45,0,75,4.1,7.2,,,,,
9,-16,-12,-18,,53,0,75,4.6,10.7,,,,,
10,-11.3,-6,-14,,29,0,68.6,4.1,10.7,,,,,
11,-15,-10,-18,,44,50.04,75,8.1,14.4,,,,,
12,-15.5,-13,-21,,60,100.08,75,5.9,14.4,,,,,
13,-15.6,-13,-18,,85,0,73.5,5.7,10.7,,,,,
14,-14,-10,-21,,62,0,74.4,3.5,10.7,,,,,
15,-14.4,-9,-20,,58,0,62,3.5,10.7,,,,,
16,-15.2,-13,-18,,82,0,56.3,3.1,7.2,,,,,
17,-17.4,-12,-21,,88,0,67.4,4.1,10.7,,,,,
18,-16.9,-11,-24,,65,0,75,5.9,10.7,,,,,
19,-13.8,-7,-21,,51,0,75,6.1,14.4,,,,,
20,-14.2,-11,-18,,65,0,70,7.2,21.7,,,,,
21,-8,-5,-12,,35,0,75,11.5,35.9,,,,,
22,-13.9,-3,-17,,67,0,63.7,3.1,10.7,,,,,
23,-17.7,-14,-20,,61,,74.4,2.6,10.7,,,,,
24,-21,-17,-24,,46,0,75,0.6,3.5,,,,,
25,-20.6,-15,-26,,45,0,73.5,5.7,14.4,,,,,
26,-19.4,-13,-23,,34,,75,3,7.2,,,,,
27,-19.8,-15,-24,,53,0,75,7.2,18,,,,,
28,-19.4,-14,-25,,53,0,75,4.4,14.4,,,,,
29,-19.1,-15,-24,,59,0,75,7.6,18,,,,,
30,-19.5,-3,-23,,68,1.02,75,5.9,10.7,,,,,
31,-18.7,-12,-24,,71,0,75,0,,,,,,
